inputfile,outputfile,vowel,interval,duration,start,end,previous_sound,next_sound,omit,word,word_interval,word_start,word_end,previous_word,next_word,comment1,comment2
KLH063a,KLH063a_0681,ai,1601,0.13975290542254015,343.7662470945775,343.90600000000006,m,i,0,mai,548,343.7129668264398,343.90600000000006,-,iaʻu,,
KLH063a,KLH063a_0682,i,1602,0.04158955990465074,343.90600000000006,343.9475895599047,ai,a,0,iaʻu,549,343.90600000000006,344.12994315367195,mai,kēia,,
KLH063a,KLH063a_0683,a,1603,0.0540306944495228,343.9475895599047,344.00162025435424,i,ʻ,0,iaʻu,549,343.90600000000006,344.12994315367195,mai,kēia,,
KLH063a,KLH063a_0684,u,1605,0.117066504640718,344.0128766490312,344.12994315367195,ʻ,k,0,iaʻu,549,343.90600000000006,344.12994315367195,mai,kēia,,
KLH063a,KLH063a_0685,ēi,1607,0.1958612673795983,344.28077884234364,344.47664010972323,k,a,0,kēia,550,344.12994315367195,344.60046045117014,iaʻu,-,,
KLH063a,KLH063a_0686,a,1608,0.12382034144690124,344.47664010972323,344.60046045117014,ēi,sp,0,kēia,550,344.12994315367195,344.60046045117014,iaʻu,-,,
KLH063a,KLH063a_0687,ēi,1611,0.13999999999998636,344.866,345.006,k,a,0,kēia,552,344.78600000000006,345.04600000000005,-,ahiahi,,
KLH063a,KLH063a_0688,a,1612,0.04000000000007731,345.006,345.04600000000005,ēi,a,0,kēia,552,344.78600000000006,345.04600000000005,-,ahiahi,excresc ʻokina,
KLH063a,KLH063a_0689,a,1613,0.03999999999996362,345.04600000000005,345.086,a,h,0,ahiahi,553,345.04600000000005,345.48420194434146,kēia,lāpule,excresc ʻokina,
KLH063a,KLH063a_0690,i,1615,0.18000000000006366,345.126,345.30600000000004,h,a,0,ahiahi,553,345.04600000000005,345.48420194434146,kēia,lāpule,,
