file,label,group,color,number
KLH063a_0607.wav,au,14,Maroon,607
KLH063a_0608.wav,e,2,Blue,608
KLH063a_0609.wav,a,1,Red,609
KLH063a_0610.wav,u,5,Olive,610
KLH063a_0611.wav,o,4,Green,611
KLH063a_0612.wav,e,2,Blue,612
KLH063a_0613.wav,ā,6,Yellow,613
KLH063a_0614.wav,u,5,Olive,614
KLH063a_0615.wav,a,1,Red,615
KLH063a_0616.wav,a,1,Red,616
KLH063a_0617.wav,o,4,Green,617
KLH063a_0618.wav,i,3,Black,618
KLH063a_0619.wav,a,1,Red,619
KLH063a_0620.wav,ēi,24,Yellow,620
KLH063a_0621.wav,a,1,Red,621
KLH063a_0622.wav,a,1,Red,622
KLH063a_0623.wav,o,4,Green,623
KLH063a_0624.wav,ā,6,Yellow,624
KLH063a_0625.wav,ou,20,Blue,625
KLH063a_0626.wav,a,1,Red,626
KLH063a_0627.wav,a,1,Red,627
KLH063a_0628.wav,e,2,Blue,628
KLH063a_0629.wav,e,2,Blue,629
KLH063a_0630.wav,a,1,Red,630
KLH063a_0631.wav,a,1,Red,631
KLH063a_0632.wav,o,4,Green,632
KLH063a_0633.wav,o,4,Green,633
KLH063a_0634.wav,o,4,Green,634
KLH063a_0635.wav,o,4,Green,635
KLH063a_0636.wav,u,5,Olive,636
KLH063a_0637.wav,i,3,Black,637
KLH063a_0638.wav,ā,6,Yellow,638
KLH063a_0639.wav,ā,6,Yellow,639
KLH063a_0640.wav,ou,20,Blue,640
KLH063a_0641.wav,ou,20,Blue,641
KLH063a_0642.wav,o,4,Green,642
KLH063a_0643.wav,o,4,Green,643
KLH063a_0644.wav,a,1,Red,644
KLH063a_0645.wav,a,1,Red,645
KLH063a_0646.wav,ō,9,Lime,646
KLH063a_0647.wav,i,3,Black,647
KLH063a_0648.wav,a,1,Red,648
KLH063a_0649.wav,a,1,Red,649
KLH063a_0650.wav,a,1,Red,650
KLH063a_0651.wav,e,2,Blue,651
KLH063a_0652.wav,a,1,Red,652
KLH063a_0653.wav,a,1,Red,653
KLH063a_0654.wav,u,5,Olive,654
KLH063a_0655.wav,a,1,Red,655
KLH063a_0656.wav,u,5,Olive,656
KLH063a_0657.wav,ā,6,Yellow,657
KLH063a_0658.wav,e,2,Blue,658
KLH063a_0659.wav,ē,7,Magenta,659
KLH063a_0660.wav,ā,6,Yellow,660
KLH063a_0661.wav,a,1,Red,661
KLH063a_0662.wav,o,4,Green,662
KLH063a_0663.wav,i,3,Black,663
KLH063a_0664.wav,a,1,Red,664
KLH063a_0665.wav,o,4,Green,665
KLH063a_0666.wav,e,2,Blue,666
KLH063a_0667.wav,a,1,Red,667
KLH063a_0668.wav,a,1,Red,668
KLH063a_0669.wav,u,5,Olive,669
KLH063a_0670.wav,ai,11,Teal,670
KLH063a_0671.wav,u,5,Olive,671
KLH063a_0672.wav,a,1,Red,672
KLH063a_0673.wav,e,2,Blue,673
KLH063a_0674.wav,o,4,Green,674
KLH063a_0675.wav,i,3,Black,675
KLH063a_0676.wav,a,1,Red,676
KLH063a_0677.wav,a,1,Red,677
KLH063a_0678.wav,e,2,Blue,678
KLH063a_0679.wav,i,3,Black,679
KLH063a_0680.wav,ei,22,Green,680
KLH063a_0681.wav,ai,11,Teal,681
KLH063a_0682.wav,i,3,Black,682
KLH063a_0683.wav,a,1,Red,683
KLH063a_0684.wav,u,5,Olive,684
KLH063a_0685.wav,ēi,24,Yellow,685
KLH063a_0686.wav,a,1,Red,686
KLH063a_0687.wav,ēi,24,Yellow,687
KLH063a_0688.wav,a,1,Red,688
KLH063a_0689.wav,a,1,Red,689
KLH063a_0690.wav,i,3,Black,690
KLH063a_0691.wav,a,1,Red,691
KLH063a_0692.wav,i,3,Black,692
KLH063a_0693.wav,ā,6,Yellow,693
KLH063a_0694.wav,u,5,Olive,694
KLH063a_0695.wav,e,2,Blue,695
KLH063a_0696.wav,e,2,Blue,696
KLH063a_0697.wav,u,5,Olive,697
KLH063a_0698.wav,a,1,Red,698
KLH063a_0699.wav,e,2,Blue,699
KLH063a_0700.wav,a,1,Red,700
KLH063a_0701.wav,u,5,Olive,701
KLH063a_0702.wav,a,1,Red,702
KLH063a_0703.wav,u,5,Olive,703
KLH063a_0704.wav,ā,6,Yellow,704
KLH063a_0705.wav,a,1,Red,705
KLH063a_0706.wav,e,2,Blue,706
KLH063a_0707.wav,u,5,Olive,707
KLH063a_0708.wav,a,1,Red,708
KLH063a_0709.wav,a,1,Red,709
KLH063a_0710.wav,o,4,Green,710
KLH063a_0711.wav,e,2,Blue,711
KLH063a_0712.wav,o,4,Green,712
KLH063a_0713.wav,ā,6,Yellow,713
KLH063a_0714.wav,a,1,Red,714
KLH063a_0715.wav,e,2,Blue,715
KLH063a_0716.wav,u,5,Olive,716
KLH063a_0717.wav,a,1,Red,717
KLH063a_0718.wav,e,2,Blue,718
KLH063a_0719.wav,i,3,Black,719
KLH063a_0720.wav,u,5,Olive,720
KLH063a_0721.wav,ā,6,Yellow,721
KLH063a_0722.wav,ou,20,Blue,722
KLH063a_0723.wav,e,2,Blue,723
KLH063a_0724.wav,o,4,Green,724
KLH063a_0725.wav,u,5,Olive,725
KLH063a_0726.wav,e,2,Blue,726
KLH063a_0727.wav,o,4,Green,727
KLH063a_0728.wav,u,5,Olive,728
KLH063a_0729.wav,ai,11,Teal,729
KLH063a_0730.wav,a,1,Red,730
KLH063a_0731.wav,e,2,Blue,731
KLH063a_0732.wav,ā,6,Yellow,732
KLH063a_0733.wav,ei,22,Green,733
KLH063a_0734.wav,i,3,Black,734
KLH063a_0735.wav,ā,6,Yellow,735
KLH063a_0736.wav,a,1,Red,736
KLH063a_0737.wav,ēi,24,Yellow,737
KLH063a_0738.wav,a,1,Red,738
KLH063a_0739.wav,o,4,Green,739
KLH063a_0740.wav,e,2,Blue,740
KLH063a_0741.wav,ō,9,Lime,741
KLH063a_0742.wav,e,2,Blue,742
KLH063a_0743.wav,ā,6,Yellow,743
KLH063a_0744.wav,ā,6,Yellow,744
KLH063a_0745.wav,ou,20,Blue,745
KLH063a_0746.wav,e,2,Blue,746
KLH063a_0747.wav,u,5,Olive,747
KLH063a_0748.wav,ai,11,Teal,748
KLH063a_0749.wav,a,1,Red,749
KLH063a_0750.wav,i,3,Black,750
KLH063a_0751.wav,e,2,Blue,751
KLH063a_0752.wav,e,2,Blue,752
KLH063a_0753.wav,u,5,Olive,753
KLH063a_0754.wav,a,1,Red,754
KLH063a_0755.wav,ei,22,Green,755
KLH063a_0756.wav,i,3,Black,756
KLH063a_0757.wav,ā,6,Yellow,757
KLH063a_0758.wav,ai,11,Teal,758
KLH063a_0759.wav,ā,6,Yellow,759
KLH063a_0760.wav,ou,20,Blue,760
KLH063a_0761.wav,e,2,Blue,761
KLH063a_0762.wav,i,3,Black,762
KLH063a_0763.wav,ei,22,Green,763
KLH063a_0764.wav,o,4,Green,764
KLH063a_0765.wav,ēi,24,Yellow,765
KLH063a_0766.wav,a,1,Red,766
KLH063a_0767.wav,āi,15,Grey,767
KLH063a_0768.wav,a,1,Red,768
KLH063a_0769.wav,o,4,Green,769
KLH063a_0770.wav,o,4,Green,770
KLH063a_0771.wav,a,1,Red,771
KLH063a_0772.wav,e,2,Blue,772
KLH063a_0773.wav,ā,6,Yellow,773
KLH063a_0774.wav,ā,6,Yellow,774
KLH063a_0775.wav,ou,20,Blue,775
KLH063a_0776.wav,o,4,Green,776
KLH063a_0777.wav,o,4,Green,777
KLH063a_0778.wav,a,1,Red,778
KLH063a_0779.wav,i,3,Black,779
