file,c11,c21,c31,c12,c22,c32,c13,c23,c33,c14,c24,c34,c15,c25,c35,c16,c26,c36
KLH063a_1041,588.9,1068.2,2079.9,-69.7,-45,145.6,-8.4,-4.6,74.7,24.1,11.6,25.2,-1.3,-3.9,19,-4.6,-2.1,4.6
KLH063a_1042,600.6,1800.3,2483.6,256,-473.9,-438.3,-53.5,-5.5,68.2,10.3,27.6,3,0.4,-45.3,16.6,-24.5,-4.7,-1.8
KLH063a_1043,739.9,1485,2588.4,-37.5,72.2,-61.9,-69.6,75.4,54.3,-13.2,11.6,1.4,9.8,23,-29.4,28.6,18.3,21.6
KLH063a_1044,572.8,1153.1,2611.4,-19.8,160.7,-6.6,-24.8,38.6,40,-7.1,16.1,21.2,-2.3,-2.7,18,-10.2,11.7,-7.2
KLH063a_1045,515.5,1161.6,2560.6,25.9,-214.5,96.9,-17.4,56.8,7,12,-3.6,10.3,-4.2,1.8,-69.1,7.3,-7.4,-4.9
KLH063a_1046,524.6,1299.2,2658.4,-40.4,129,-1.8,-31.2,-18.1,25.4,-20.9,13.1,-53.4,-16.7,4.2,-14.8,-3.5,-2.7,25.7
KLH063a_1047,578,1148.4,2548.5,-88.7,-297.8,-182.5,25,220.2,-41.3,-20.2,-44.6,-43,37.9,-65.8,4.1,-5.1,73.1,8
KLH063a_1048,342.2,1063.8,1828.2,-9.5,-51.9,164.3,5,-16.9,91.7,3.3,-14.7,-51.1,-3.1,32.8,-8.7,1.4,32.7,-1.2
KLH063a_1049,329.6,2047.2,2789.2,-11.8,-76,-148.8,88.6,-155.8,-225.6,-7,-48,-4.1,26,-83.3,-2.9,-3.9,-24.5,59
KLH063a_1050,633.7,1484.7,2409.3,-10.7,150.6,49.7,-64.5,109.7,117.1,-13.6,40.1,-45.2,-16.6,10.1,-10.8,-17.7,24.7,59.6
KLH063a_1051,743.2,1336.7,2453,-30.8,32.4,31.9,-11,-7,-41.4,-14.6,-3.1,26.3,3.5,-13.6,-0.1,6.6,3.9,-9.3
KLH063a_1052,452.7,1292,2573.1,-22.1,-134,-5.1,-31.8,55.7,-59.8,-4.1,-11.8,29.3,1.8,32.9,31.1,-0.3,-156,-90
KLH063a_1053,376.2,1414.7,2587.2,-42.4,-211.2,5.2,13.7,-56.9,-78.1,3.6,89.2,-0.1,-14.5,14.7,52.5,14,-15.8,-18.8
KLH063a_1054,550.6,1163.7,2598.5,17.5,39.9,-34.5,-15.4,20.5,-14.1,-0.8,-3.4,-11.6,10,-3.8,4.8,-6.3,-0.4,1.9
KLH063a_1055,310.7,1048.9,2526.7,21.3,2.7,88.9,23.1,65.5,-40.3,9,-5.6,48.1,2.7,14.5,-30.3,4.7,-33.3,48.3
KLH063a_1056,569.4,1052.2,2482.4,-90.3,-11.9,13,-44.7,-16.5,-8.5,-3.8,20.2,1.8,-13.5,-6.3,5.4,3.2,7.5,-0.6
KLH063a_1057,418.9,1327.2,2269.9,134.8,-18.8,96.8,-11.6,-339.6,-18.1,-38.1,20.7,-90.9,-9.5,109.1,69.9,12,-84.9,35.4
KLH063a_1058,531.3,1082.9,2397.2,-68,18.7,93,-69.3,-0.5,5.1,-22.6,22.9,-18.7,-20.3,-6.6,-0.8,9.5,9.8,7.2
KLH063a_1059,640.4,1254.4,2524.9,-78.3,34.6,-187.9,-18,22.8,-11.7,-6.4,-6.6,-18.2,-23.4,45.7,1.7,8.4,-11.6,-6.8
KLH063a_1060,719.2,1209.7,2602.6,29.7,5.1,19.8,4.8,-19,31.1,5.7,-1.8,-32.7,-21,-15.1,-0.6,5.9,10.8,-14.6
KLH063a_1061,514.4,1089.3,2643.2,83.4,-77.9,99.7,3.3,83.4,-76.5,6.2,-56.3,5.3,-3.9,25.2,-16.5,-1.2,5.5,8.9
KLH063a_1062,346.5,1979.4,2616.9,3.1,-160.3,-153.5,42.4,-122.8,-86.9,-1.2,-104.5,4.4,20.7,-32.2,19.2,-15,-35.9,22.2
KLH063a_1063,341.8,2160.2,2845.6,-9.8,44.3,16.1,34.8,-33.6,-157.9,-18.5,20.3,76.8,9.6,-2.5,-29.9,-12,-15.5,-23.5
KLH063a_1064,514.6,1687.9,2590,-29.3,308.4,-40.6,-28.1,72.3,73.7,-10.1,33,41.2,0.1,1.1,14.8,-4.4,38.7,-0.6
KLH063a_1065,308.2,1428.1,2557.3,13.5,-37.9,99.6,1.8,-6.2,-18.3,4.1,-34.5,-24.1,0,-9.2,-30.5,1.4,-22,-20.5
KLH063a_1066,308,1836.9,2426.6,-34.4,-292.2,-41.2,23.6,-99.9,33.6,-16.9,53.7,6,12,17.1,11.9,-6,33.2,-7.8
KLH063a_1067,692.9,1425.2,2439.7,43.2,-134.5,-5.8,-63.3,1.9,51.3,13.6,26.5,-20,-5.9,8.4,7.7,5.5,-7.5,33.1
KLH063a_1068,691.2,1470.3,2480.5,7.1,43.3,36.9,-24.7,-10,-21.4,1.1,-17.6,-20.4,2.8,7,-7.4,-18.3,11.3,-14.4
KLH063a_1069,568.8,1161.2,2600.8,116.1,131.6,-91,34.3,114.4,91.6,-12.3,-62.5,-25.1,-9.6,-11.8,-30.9,0.4,84.5,-9.4
KLH063a_1070,333.8,2021.3,2621,5.2,75.6,66.6,-15.1,-89.9,-106.3,8.6,34.1,11.8,1.8,-23.6,1.2,-12.9,-73.7,23.4
KLH063a_1071,361.8,1088.9,2460.4,-19.7,172.1,-39.1,10.3,50,-42.7,-5.6,-2.7,-50.7,2.8,37.8,-31.7,-3.4,24.2,-10.8
KLH063a_1072,659.3,1081.5,2367.9,-68,-70.2,97.5,-28.1,-24,5,-25.2,13.3,23.9,-2.6,-18.3,21.5,-11,13.6,-9.9
KLH063a_1073,622.3,1287.5,2372.3,57.2,17.4,96.5,-7.1,-51.9,-24.5,-3.3,7.2,40.8,-25.8,-13.2,-13.3,9.2,-14.9,-12
KLH063a_1074,537.2,1053.1,2512.4,-107,-38.9,-46.7,13.3,21.5,-154,-6.4,22.3,-58.3,-7.3,-3,-60.1,-2.8,13.9,-31.1
KLH063a_1075,759.1,1316,2423.6,65.8,-92.5,41.8,-49.7,-10.3,-2.4,3.8,-1.2,-6.4,-14.6,-2.6,7.6,6.1,1.1,-3.7
KLH063a_1076,596.4,1319.7,2343,-83.1,15.8,42.9,-45.6,-5.1,9.3,-19.1,5.4,-6.6,-12.2,2.1,6.8,-10.4,1.5,-2.4
KLH063a_1077,699.6,1486.5,2749.1,96.3,-227.3,164.5,13.1,-11.8,-35.8,-11.5,59.4,111.2,31.3,2.6,-29.6,3.5,31.8,36.1
KLH063a_1078,704.3,1487.4,2830.8,93.7,-21.8,-106.6,-21.3,10.7,-35,-5.2,4.5,-9.2,-10.8,0.7,22.4,6.4,2.7,27.3
KLH063a_1079,702.5,1468.3,2879.4,-105.5,-45,-53.3,4.9,28.2,27.6,-13.8,-8.3,16.6,2.2,8.5,-4.4,-13.4,-10.2,-2.5
KLH063a_1080,619,1212,2396.1,38.9,-6.9,-223.5,-27.1,-16.9,-14.6,-9.6,-19,-5.4,0.5,-9.1,-17.2,0.6,-12.4,-12.6
KLH063a_1081,405.4,1011.7,2614.2,34.9,-13.8,-1.9,39.8,121.7,1,14.5,-70.5,-7.4,5.2,55,-1.1,1.2,-30.8,-10.1
KLH063a_1082,340.6,2176.4,2487.7,16.9,15.1,64.1,0.2,-121.3,17.7,-0.7,39.5,35.7,0.3,-44.5,70.2,-3,14.6,-56.2
KLH063a_1083,338.6,1150.8,2386.9,11,-66.3,28.3,-19.1,99.7,-132,2.7,-23.3,-35.4,-2.8,-1.7,-29.5,-1.6,-15.7,-21.6
KLH063a_1084,714.7,1401.2,2634.7,-47,-10.8,-127.9,-79.6,48.9,-122.2,-28.9,-11.3,-16.2,-38.9,15.4,7.7,-17.6,0.5,59.1
KLH063a_1085,434.8,1946.7,2648.2,-44.1,-81.6,-93.6,2.9,-10.2,-2.3,-13.9,19.8,25.5,-16.7,20.7,22.6,-8.2,17.7,8.2
KLH063a_1086,428,2056.4,2766.8,4.5,-41.7,-67.8,4.2,13.8,20.3,4.4,-24.3,-3.1,3.5,17,27.2,4.1,-2.6,-20.9
KLH063a_1087,487.8,1899,2513.5,24.7,74.6,-133.4,-11.6,-7.2,-56.3,28.7,30,0.9,-6,8.7,8.7,7.4,26.3,13.3
KLH063a_1088,380.9,1861.9,2625.9,63.6,27.1,-4.1,-24.2,-38.2,-25.4,5.2,9.6,21.5,-11.7,-14,-2,6.1,6.7,-9.1
KLH063a_1089,316.3,2095.8,2601.7,23.7,-3.5,48.3,-6.7,-57.8,47.2,9.6,15.4,4.6,-8.5,-11.2,-11.5,10.9,9,-0.4
KLH063a_1090,272.1,2092.7,2620.9,8,136.1,64.7,5.6,-58.6,-57,-2.3,52.3,-1.3,-1.3,-40.6,-7.6,-2.1,10.9,-0.4
KLH063a_1091,316,2184.4,2673.6,12.2,-60.7,76.8,25.7,-82.5,-138.9,-21.3,7.1,-154.1,11.5,-41.4,60.6,-5.6,5.9,-39.9
KLH063a_1092,338.9,2068.5,2900.1,47.1,-24.1,-93.9,24.9,-18,-88.8,-13.7,-7.5,-19.6,7.9,7,-13.9,-1.6,-5.9,7.6
KLH063a_1093,367.9,1942.5,2653,15.2,219,212.2,-18.5,-36.5,32.1,2.5,-27.9,-26.9,-4.7,14.8,-3.6,1.8,12.9,9.8
KLH063a_1094,413.5,1244.7,2036.5,88.6,-93.9,223.7,0.5,52.4,-185,27.3,16.5,77.3,4.2,40.3,0.9,1.9,-1.6,-21.1
KLH063a_1095,652.3,1244.5,2334.5,-57.3,53.8,26.7,6.4,7,-2.8,-4.2,15.3,-30.8,5.7,3.6,-11.2,-5.7,-3,5.7
KLH063a_1096,766.2,1297.4,2334.1,74.7,-99.7,47.4,-72.3,6.9,-3.2,15.5,-4,-4.7,-24,-10,2.7,16,-10.3,-1.7
KLH063a_1097,432.6,1564.9,2531.3,-20.4,-198,-129.9,-76.3,66.9,32.6,-28.9,-43.4,10.5,-17.2,6.3,2.8,-2.9,-11.3,-7.3
