,X,filename,vowel,word,start,stress,mahal_mean,mahal_median,edit
126,126,KLH032a_0195,au,au,181.2541,primary,14.40339875,12.01679224,0
127,127,KLH032e_1086,e,kāhea,436.9171484,primary,14.29871054,10.24422406,NA
128,128,KLH032b_0065,a,mahalo,29.6525,unstressed,14.29601328,13.35012071,NA
129,129,KLH032e_0932,u,kahua,348.4942432,primary,14.29577753,16.31889384,0
130,130,KLH032e_0831,o,noho,319.2657049,unstressed,14.16982657,14.1738685,NA
131,131,KLH032a_2473,u,ʻuhane,1062.97763,unstressed,14.00415045,14.14759188,NA
132,132,KLH032a_1656,a,kiaʻi,768.0656761,primary,13.97641126,14.06850851,NA
133,133,KLH032a_0473,u,kumu,294.4055992,unstressed,13.9469628,13.81144503,1
134,134,KLH032a_2657,a,ʻahaʻōlelo,1120.106517,0,13.9179516,9.847535115,NA
135,135,KLH032e_0727,u,kanakolu,275.3554162,unstressed,13.91146583,19.3980965,1
136,136,KLH032a_1617,i,kiaʻi,755.6819245,unstressed,13.75355018,17.93333972,NA
137,137,KLH032a_1420,a,ia,690.2196957,unstressed,13.70087867,13.57105462,NA
138,138,KLH032a_0067,ai,laila,999,primary,999,999,0
139,139,KLH032a_0566,ai,kaikamāhine,999,primary,999,999,0
