file,filename,vowel,interval,duration,start,end,previous_sound,next_sound,omit,word,word_interval,word_start,word_end,previous_word,next_word,comment1,comment2
74,KLH021a_0074,i,152,0.19063039082956834,150.74156960917043,150.9322,e,sp,0,i,49,150.74156960917043,150.9322,kāne,-,,
75,KLH021a_0075,i,154,0.07877781853667898,151.24342218146333,151.3222,sp,h,0,i,51,151.24342218146333,151.3222,-,hānau,,
76,KLH021a_0076,ā,156,0.06999999999999318,151.4222,151.4922,h,n,0,hānau,52,151.3222,151.76241633718462,i,ʻia,,
77,KLH021a_0077,au,158,0.17439319748697812,151.58802313969764,151.76241633718462,n,ʻ,0,hānau,52,151.3222,151.76241633718462,i,ʻia,,
78,KLH021a_0078,i,160,0.2102559947290672,151.81194400527093,152.0222,ʻ,a,0,ʻia,53,151.76241633718462,152.16249109087687,hānau,-,,
79,KLH021a_0079,a,161,0.14029109087687175,152.0222,152.16249109087687,i,sp,0,ʻia,53,151.76241633718462,152.16249109087687,hānau,-,interesting voice quality here after the modalness – F1 goes down a lot as part of it,
80,KLH021a_0080,a,164,0.05929368714558336,152.71436068759436,152.77365437473995,h,ʻ,0,haʻalele,55,152.66343787392816,153.12991343560964,-,kuʻu,,
81,KLH021a_0081,a,166,0.07831601435157154,152.79388398564842,152.8722,ʻ,l,0,haʻalele,55,152.66343787392816,153.12991343560964,-,kuʻu,,
82,KLH021a_0082,e,168,0.05999125993551502,152.9498977827275,153.00988904266302,l,l,0,haʻalele,55,152.66343787392816,153.12991343560964,-,kuʻu,,
83,KLH021a_0083,e,170,0.060033133011074824,153.06988030259856,153.12991343560964,l,k,0,haʻalele,55,152.66343787392816,153.12991343560964,-,kuʻu,,
84,KLH021a_0084,u,172,0.04536581966314657,153.22683418033685,153.2722,k,ʻ,0,kuʻu,56,153.12991343560964,153.35797786484707,haʻalele,makua,,
85,KLH021a_0085,u,174,0.05577786484707303,153.3022,153.35797786484707,ʻ,m,0,kuʻu,56,153.12991343560964,153.35797786484707,haʻalele,makua,,
86,KLH021a_0086,a,176,0.09756549578963813,153.45354533706995,153.5511108328596,m,k,0,makua,57,153.35797786484707,153.9638185303832,kuʻu,-,,
87,KLH021a_0087,u,178,0.10686932210637679,153.6722,153.77906932210638,k,a,0,makua,57,153.35797786484707,153.9638185303832,kuʻu,-,,
88,KLH021a_0088,a,179,0.18474920827682695,153.77906932210638,153.9638185303832,u,sil,0,makua,57,153.35797786484707,153.9638185303832,kuʻu,-,,
89,KLH021a_0089,au,182,0.1597441688980723,154.8228338331257,154.98257800202379,m,m,0,mau,59,154.7719110194595,154.98257800202379,-,mākua,,
90,KLH021a_0090,ā,184,0.08436154418328101,155.0683794551874,155.15274099937068,m,k,0,mākua,60,154.98257800202379,155.4737,mau,i,,
91,KLH021a_0091,u,186,0.10541364880535298,155.28809137328972,155.39350502209507,k,a,0,mākua,60,154.98257800202379,155.4737,mau,i,,
92,KLH021a_0092,a,187,0.08019497790493801,155.39350502209507,155.4737,u,i,0,mākua,60,154.98257800202379,155.4737,mau,i,,
93,KLH021a_0093,i,188,0.14721375161809647,155.4737,155.6209137516181,a,k,0,i,61,155.4737,155.6209137516181,mākua,kona,,
94,KLH021a_0094,o,190,0.1027508467512348,155.7537,155.85645084675124,k,n,0,kona,62,155.6209137516181,156.03572705376789,i,-,,
95,KLH021a_0095,a,192,0.07202705376789709,155.9637,156.03572705376789,n,sp,0,kona,62,155.6209137516181,156.03572705376789,i,-,,
96,KLH021a_0096,a,194,0.1967155267653311,156.15501200084898,156.35172752761432,sp,n,0,a,64,156.15501200084898,156.35172752761432,-,noho,excresc ʻokina,
97,KLH021a_0097,o,196,0.043947085766717464,156.45985131005625,156.50379839582297,n,h,0,noho,65,156.35172752761432,156.6937,a,i,,
98,KLH021a_0098,o,198,0.09736693098324167,156.59633306901677,156.6937,h,i,0,noho,65,156.35172752761432,156.6937,a,i,,
99,KLH021a_0099,i,199,0.13999999999998636,156.6937,156.8337,o,h,0,i,66,156.6937,156.8337,noho,honolulu,excresc ʻokina,
100,KLH021a_0100,o,201,0.08838645182575533,156.9237,157.01208645182575,h,n,0,honolulu,67,156.8337,157.47178692040148,i,-,,
101,KLH021a_0101,o,203,0.058596114355623286,157.0811461580306,157.13974227238623,n,l,0,honolulu,67,156.8337,157.47178692040148,i,-,,
102,KLH021a_0102,u,205,0.10254320012234075,157.23042673507948,157.33296993520182,l,l,0,honolulu,67,156.8337,157.47178692040148,i,-,,
103,KLH021a_0103,u,207,0.05789854156569163,157.4138883788358,157.47178692040148,l,sp,0,honolulu,67,156.8337,157.47178692040148,i,-,,
104,KLH021a_0104,i,210,0.07952329805408453,158.78550858697878,158.86503188503286,ʻ,m,0,ʻimi,69,158.75481538422108,159.1070896431448,-,koʻu,,
105,KLH021a_0105,i,212,0.16811504237745112,158.93897460076735,159.1070896431448,m,k,0,ʻimi,69,158.75481538422108,159.1070896431448,-,koʻu,,
0,--,o,214,0.07276778264156292,159.22846730859575,159.30123509123732,k,ʻ,1,koʻu,70,159.1070896431448,159.43325717727308,ʻimi,koʻu,,disfl
0,--,u,216,0.06101861119299201,159.37223856608009,159.43325717727308,ʻ,k,1,koʻu,70,159.1070896431448,159.43325717727308,ʻimi,koʻu,,disfl
106,KLH021a_0106,o,218,0.11038177168995844,159.5557827741385,159.66616454582845,k,ʻ,0,koʻu,71,159.43325717727308,159.7428583742104,koʻu,makua,,
107,KLH021a_0107,u,220,0.04587294407892273,159.6969854301315,159.7428583742104,ʻ,m,0,koʻu,71,159.43325717727308,159.7428583742104,koʻu,makua,,
108,KLH021a_0108,a,222,0.09041127958687412,159.84392220413432,159.9343334837212,m,k,0,makua,72,159.7428583742104,160.19726822649832,koʻu,kāne,,
109,KLH021a_0109,u,224,0.0766938283819627,160.05225156469888,160.12894539308084,k,a,0,makua,72,159.7428583742104,160.19726822649832,koʻu,kāne,,
110,KLH021a_0110,a,225,0.0683228334174828,160.12894539308084,160.19726822649832,u,k,0,makua,72,159.7428583742104,160.19726822649832,koʻu,kāne,,
111,KLH021a_0111,ā,227,0.14478647974914338,160.32462217016754,160.4694086499167,k,n,0,kāne,73,160.19726822649832,160.76307716665167,makua,-,,
112,KLH021a_0112,e,229,0.20517716665167995,160.5579,160.76307716665167,n,sp,0,kāne,73,160.19726822649832,160.76307716665167,makua,-,,
113,KLH021a_0113,a,232,0.04999999999998295,161.4179,161.4679,k,h,0,ka,75,161.3379,161.4679,-,hana,,
114,KLH021a_0114,a,234,0.09075060690565806,161.55714939309433,161.6479,h,n,0,hana,76,161.4679,161.8379,ka,ma,,
115,KLH021a_0115,a,236,0.09152471258002493,161.74637528741997,161.8379,n,m,0,hana,76,161.4679,161.8379,ka,ma,,
116,KLH021a_0116,a,238,0.1591217747738085,161.94850294726777,162.10762472204158,m,t,0,ma,77,161.8379,162.10762472204158,hana,tī,,
0,--,ī,240,0.22148030813110609,162.25502907875128,162.47650938688238,t,-,1,tī,78,162.10762472204158,162.47650938688238,ma,-,,disfl
117,KLH021a_0117,a,244,0.10536441843129296,164.7327305762769,164.8380949947082,m,k,0,ma,80,164.67825645518317,164.8380949947082,-,ka,,
118,KLH021a_0118,a,246,0.10726553064066024,164.95062706065184,165.0578925912925,k,a,0,ka,81,164.8380949947082,165.0578925912925,ma,alanui,,
119,KLH021a_0119,a,247,0.101780594675148,165.0578925912925,165.15967318596765,a,l,0,alanui,82,165.0578925912925,165.6764605716069,ka,halekauila,excresc ʻokina,
120,KLH021a_0120,a,249,0.05110239868491817,165.2162976013151,165.2674,l,n,0,alanui,82,165.0578925912925,165.6764605716069,ka,halekauila,,
121,KLH021a_0121,u,251,0.09174588815787388,165.36825172857655,165.45999761673443,n,i,0,alanui,82,165.0578925912925,165.6764605716069,ka,halekauila,,
122,KLH021a_0122,i,252,0.21646295487246903,165.45999761673443,165.6764605716069,u,h,0,alanui,82,165.0578925912925,165.6764605716069,ka,halekauila,,
123,KLH021a_0123,a,254,0.06594235711347096,165.78110822528697,165.84705058240044,h,l,0,halekauila,83,165.6764605716069,166.57646791711164,alanui,-,,
124,KLH021a_0124,e,256,0.0707838253588875,165.8974,165.9681838253589,l,k,0,halekauila,83,165.6764605716069,166.57646791711164,alanui,-,,
125,KLH021a_0125,au,258,0.1923967231355448,166.1074,166.29979672313556,k,i,0,halekauila,83,165.6764605716069,166.57646791711164,alanui,-,,
126,KLH021a_0126,i,259,0.11396559544610341,166.29979672313556,166.41376231858166,au,l,0,halekauila,83,165.6764605716069,166.57646791711164,alanui,-,,
127,KLH021a_0127,a,261,0.08744529965048287,166.48902261746116,166.57646791711164,l,sp,0,halekauila,83,165.6764605716069,166.57646791711164,alanui,-,,
128,KLH021a_0128,ō,264,0.15336943914249446,168.0369305608575,168.1903,l,ʻ,0,lōʻihi,85,167.96023673247552,168.39602970122542,-,kona,,
129,KLH021a_0129,i,266,0.1075147126850311,168.21397145441213,168.32148616709716,ʻ,h,0,lōʻihi,85,167.96023673247552,168.39602970122542,-,kona,,
130,KLH021a_0130,i,268,0.04228912032277776,168.35374058090264,168.39602970122542,h,k,0,lōʻihi,85,167.96023673247552,168.39602970122542,-,kona,,
131,KLH021a_0131,o,270,0.06450882761100729,168.47917441236848,168.5436832399795,k,n,0,kona,86,168.39602970122542,168.6703,lōʻihi,hana,,
132,KLH021a_0132,a,272,0.0520732258922294,168.61822677410777,168.6703,n,h,0,kona,86,168.39602970122542,168.6703,lōʻihi,hana,,
133,KLH021a_0133,a,274,0.060000000000002274,168.7703,168.8303,h,n,0,hana,87,168.6703,168.9603,kona,ʻana,,
134,KLH021a_0134,a,276,0.044865036174712714,168.91543496382528,168.9603,n,ʻ,0,hana,87,168.6703,168.9603,kona,ʻana,,
135,KLH021a_0135,a,278,0.09093414724588911,169.0193658527541,169.1103,ʻ,n,0,ʻana,88,168.9603,169.2903,hana,i,,
136,KLH021a_0136,a,280,0.0802747234178014,169.2100252765822,169.2903,n,i,0,ʻana,88,168.9603,169.2903,hana,i,,
137,KLH021a_0137,i,281,0.09000000000000341,169.2903,169.3803,a,l,0,i,89,169.2903,169.3803,ʻana,laila,,
138,KLH021a_0138,ai,283,0.19155735473981395,169.45874264526017,169.6503,l,l,0,laila,90,169.3803,169.84215949119255,i,-,,
139,KLH021a_0139,a,285,0.10771159875187664,169.73444789244067,169.84215949119255,l,sp,0,laila,90,169.3803,169.84215949119255,i,-,where does it end? voice quality thing here,
140,KLH021a_0140,a,287,0.2738738360750972,170.3064261639249,170.5803,sp,m,0,a,92,170.3064261639249,170.5803,-,make,excresc ʻokina,
141,KLH021a_0141,a,289,0.07286082258144688,170.68129412881996,170.7541549514014,m,k,0,make,93,170.5803,170.9603,a,ʻo,,
142,KLH021a_0142,e,291,0.0814279818839907,170.878872018116,170.9603,k,ʻ,0,make,93,170.5803,170.9603,a,ʻo,,
143,KLH021a_0143,o,293,0.1216588553934912,171.0186411446065,171.1403,ʻ,i,0,ʻo,94,170.9603,171.1403,make,ia,,
144,KLH021a_0144,i,294,0.14000000000001478,171.1403,171.2803,o,a,0,ia,95,171.1403,171.38388047580506,ʻo,-,,
145,KLH021a_0145,a,295,0.10358047580504604,171.2803,171.38388047580506,i,sp,0,ia,95,171.1403,171.38388047580506,ʻo,-,,
146,KLH021a_0146,a,298,0.07127529522909981,171.9412658558822,172.0125411511113,m,k,0,makahiki,97,171.85023673247557,172.4503,-,ʻumi,,
147,KLH021a_0147,a,300,0.03106402024371846,172.1168275047866,172.14789152503033,k,h,0,makahiki,97,171.85023673247557,172.4503,-,ʻumi,,
148,KLH021a_0148,i,302,0.0721129041371853,172.18006497456847,172.25217787870565,h,k,0,makahiki,97,171.85023673247557,172.4503,-,ʻumi,,
149,KLH021a_0149,i,304,0.09010422744813695,172.36019577255186,172.4503,k,ʻ,0,makahiki,97,171.85023673247557,172.4503,-,ʻumi,,
150,KLH021a_0150,u,306,0.09000000000000341,172.5103,172.6003,ʻ,m,0,ʻumi,98,172.4503,172.84231345137022,makahiki,kūmā,,
151,KLH021a_0151,i,308,0.08140749099752043,172.7609059603727,172.84231345137022,m,k,0,ʻumi,98,172.4503,172.84231345137022,makahiki,kūmā,,
152,KLH021a_0152,ū,310,0.054901513337227925,172.9703,173.02520151333724,k,m,0,kūmā,99,172.84231345137022,173.29897602073297,ʻumi,iwa,,
153,KLH021a_0153,ā,312,0.16839083754280182,173.13058518319016,173.29897602073297,m,i,0,kūmā,99,172.84231345137022,173.29897602073297,ʻumi,iwa,,
154,KLH021a_0154,i,313,0.08567434937162943,173.29897602073297,173.3846503701046,ā,w,0,iwa,100,173.29897602073297,173.7381596118335,kūmā,-,,
155,KLH021a_0155,a,315,0.2278889132574875,173.51027069857602,173.7381596118335,w,sp,0,iwa,100,173.29897602073297,173.7381596118335,kūmā,-,,
156,KLH021a_0156,ā,318,0.0964623009765262,174.19075670466032,174.28721900563684,k,l,0,kālua,102,174.14391951805902,174.69475545038588,-,-,,
157,KLH021a_0157,u,320,0.15223108892041637,174.36806891107958,174.5203,l,a,0,kālua,102,174.14391951805902,174.69475545038588,-,-,,
158,KLH021a_0158,a,321,0.17445545038589216,174.5203,174.69475545038588,u,sp,0,kālua,102,174.14391951805902,174.69475545038588,-,-,,
159,KLH021a_0159,ū,324,0.04650412599056608,175.219393114606,175.26589724059656,k,m,0,kūmā,104,175.1602890457996,175.47317437864777,-,walu,,
160,KLH021a_0160,ā,326,0.09885525045518762,175.37431912819258,175.47317437864777,m,w,0,kūmā,104,175.1602890457996,175.47317437864777,-,walu,,
161,KLH021a_0161,a,328,0.11926407635561986,175.55672300967765,175.67598708603327,w,l,0,walu,105,175.47317437864777,175.83160438352402,kūmā,-,,
162,KLH021a_0162,u,330,0.09630414721763714,175.7353002363064,175.83160438352402,l,sp,0,walu,105,175.47317437864777,175.83160438352402,kūmā,-,tracking gives out a bit for F2,
163,KLH021a_0163,a,333,0.09515708371083065,178.17110721855465,178.26626430226548,m,k,0,make,107,178.1073296376158,178.63237596942352,-,-,,
164,KLH021a_0164,e,335,0.26419602576785906,178.36817994365566,178.63237596942352,k,sp,0,make,107,178.1073296376158,178.63237596942352,-,-,,
