inputfile,outputfile,vowel,interval,duration,start,end,previous_sound,next_sound,omit,word,word_interval,word_start,word_end,previous_word,next_word,comment1,comment2
KLH014a,KLH014a_1445,o,3305,0.07739229363983213,828.2513947090247,828.3287870026645,l,h,0,lohe,1137,828.1520067108768,828.4509853610431,ka,wale,,
KLH014a,KLH014a_1446,e,3307,0.061885361043096054,828.3891,828.4509853610431,h,w,0,lohe,1137,828.1520067108768,828.4509853610431,ka,wale,,
KLH014a,KLH014a_1447,a,3309,0.07723959109739553,828.5218604089026,828.5991,w,l,0,wale,1138,828.4509853610431,828.771145059995,lohe,nō,,
KLH014a,KLH014a_1448,e,3311,0.10204505999502089,828.6691,828.771145059995,l,n,0,wale,1138,828.4509853610431,828.771145059995,lohe,nō,,
KLH014a,KLH014a_1449,ō,3313,0.1520574083572228,828.8729770253104,829.0250344336677,n,sp,0,nō,1139,828.771145059995,829.0250344336677,wale,-,,
KLH014a,KLH014a_1450,a,3317,0.036659507513604694,830.411308416311,830.4479679238246,k,m,0,ka,1141,830.3005152380478,830.4479679238246,-,maopopo,,
KLH014a,KLH014a_1451,ao,3319,0.1042759324831195,830.5832007737636,830.6874767062467,m,p,0,maopopo,1142,830.4479679238246,831.0866580102834,ka,aku,,
KLH014a,KLH014a_1452,o,3321,0.04887934335135924,830.7779034914469,830.8267828347982,p,p,0,maopopo,1142,830.4479679238246,831.0866580102834,ka,aku,,
KLH014a,KLH014a_1453,o,3323,0.13034491560381412,830.9563130946796,831.0866580102834,p,a,0,maopopo,1142,830.4479679238246,831.0866580102834,ka,aku,,
KLH014a,KLH014a_1454,a,3324,0.09584616350298347,831.0866580102834,831.1825041737864,o,k,0,aku,1143,831.0866580102834,831.4635603980571,maopopo,i,,
KLH014a,KLH014a_1455,u,3326,0.16293114450479607,831.3006292535523,831.4635603980571,k,i,0,aku,1143,831.0866580102834,831.4635603980571,maopopo,i,,
KLH014a,KLH014a_1456,i,3327,0.19225875051563435,831.4635603980571,831.6558191485727,u,n,0,i,1144,831.4635603980571,831.6558191485727,aku,nā,,
KLH014a,KLH014a_1457,ā,3329,0.12627163699119137,831.7397286879927,831.8660003249839,n,m,0,nā,1145,831.6558191485727,831.8660003249839,i,mea,,
KLH014a,KLH014a_1458,e,3331,0.10427593248300582,832.0623323541122,832.1666082865952,m,a,0,mea,1146,831.8660003249839,832.2635523175755,nā,ʻano,,
KLH014a,KLH014a_1459,a,3332,0.09694403098035309,832.1666082865952,832.2635523175755,e,ʻ,0,mea,1146,831.8660003249839,832.2635523175755,nā,ʻano,,
KLH014a,KLH014a_1460,a,3334,0.12653777972877833,832.2795622202713,832.4061,ʻ,n,0,ʻano,1147,832.2635523175755,832.6021658863907,mea,nui,,
KLH014a,KLH014a_1461,o,3336,0.06761642496951481,832.5345494614212,832.6021658863907,n,n,0,ʻano,1147,832.2635523175755,832.6021658863907,mea,nui,,
KLH014a,KLH014a_1462,u,3338,0.08558490251357398,832.7105150974865,832.7961,n,i,0,nui,1148,832.6021658863907,832.8514505374831,ʻano,ma,,
KLH014a,KLH014a_1463,i,3339,0.05535053748303653,832.7961,832.8514505374831,u,m,0,nui,1148,832.6021658863907,832.8514505374831,ʻano,ma,,
KLH014a,KLH014a_1464,a,3341,0.08082179269331391,832.9752782073067,833.0561,m,h,0,ma,1149,832.8514505374831,833.0561,nui,hope,,
KLH014a,KLH014a_1465,o,3343,0.0627284906342993,833.1088817458007,833.171610236435,h,p,0,hope,1150,833.0561,833.359795708338,ma,aku,,
KLH014a,KLH014a_1466,e,3345,0.05621124485412565,833.3035844634838,833.359795708338,p,a,0,hope,1150,833.0561,833.359795708338,ma,aku,,
KLH014a,KLH014a_1467,a,3346,0.051323310519023835,833.359795708338,833.411119018857,e,k,0,aku,1151,833.359795708338,833.5161,hope,ʻaʻole,,
KLH014a,--,u,3348,0.005061539027451545,833.5110384609726,833.5161,k,ʻ,1,aku,1151,833.359795708338,833.5161,hope,ʻaʻole,,
KLH014a,KLH014a_1468,a,3350,0.10346127676052674,833.6242756064034,833.727736883164,ʻ,ʻ,0,ʻaʻole,1152,833.5161,834.1326207772584,aku,-,,
KLH014a,KLH014a_1469,o,3352,0.10671989965067041,833.7375127518343,833.844232651485,ʻ,l,0,ʻaʻole,1152,833.5161,834.1326207772584,aku,-,,
KLH014a,KLH014a_1470,e,3354,0.2354355038094127,833.8971852734489,834.1326207772584,l,sp,0,ʻaʻole,1152,833.5161,834.1326207772584,aku,-,,
KLH014a,KLH014a_1471,a,3357,0.0733190150270957,834.5912782202424,834.6645972352695,ʻ,ʻ,0,ʻaʻole,1154,834.5461,834.8804810017384,-,i,,
KLH014a,KLH014a_1472,o,3359,0.10753455537326317,834.6776317268299,834.7851662822031,ʻ,l,0,ʻaʻole,1154,834.5461,834.8804810017384,-,i,,
KLH014a,KLH014a_1473,e,3361,0.04154744184870651,834.8389335598897,834.8804810017384,l,i,0,ʻaʻole,1154,834.5461,834.8804810017384,-,i,,
KLH014a,KLH014a_1474,i,3362,0.03503019606853286,834.8804810017384,834.915511197807,e,m,0,i,1155,834.8804810017384,834.915511197807,ʻaʻole,maopopo,,
KLH014a,KLH014a_1475,ao,3364,0.0757629821947603,835.0336362775729,835.1093992597677,m,p,0,maopopo,1156,834.915511197807,835.4056507310114,i,iaʻu,,
KLH014a,--,o,3366,0.007331901502766414,835.242188142539,835.2495200440418,p,p,1,maopopo,1156,834.915511197807,835.4056507310114,i,iaʻu,,
KLH014a,KLH014a_1476,o,3368,0.034746984313642315,835.3709037466978,835.4056507310114,p,i,0,maopopo,1156,834.915511197807,835.4056507310114,i,iaʻu,,
KLH014a,KLH014a_1477,i,3369,0.10183196531545491,835.4056507310114,835.5074826963269,o,a,0,iaʻu,1157,835.4056507310114,835.6060560387523,maopopo,-,,
KLH014a,KLH014a_1478,a,3370,0.06680176924703574,835.5074826963269,835.5742844655739,i,ʻ,0,iaʻu,1157,835.4056507310114,835.6060560387523,maopopo,-,,
KLH014a,--,u,3372,0.004887934335101818,835.6011681044172,835.6060560387523,ʻ,sp,1,iaʻu,1157,835.4056507310114,835.6060560387523,maopopo,-,,
KLH014a,--,a,3376,0.06189573128744996,850.6197721985591,850.6816679298465,m,h,1,mahiʻai,1160,850.5248088848028,851.0055606606936,-,kekahi,,overlap
KLH014a,--,i,3378,0.07037459858713646,850.7342369071044,850.8046115056916,h,ʻ,1,mahiʻai,1160,850.5248088848028,851.0055606606936,-,kekahi,,overlap
KLH014a,KLH014a_1479,ai,3380,0.1534674981238595,850.8520931625698,851.0055606606936,ʻ,k,0,mahiʻai,1160,850.5248088848028,851.0055606606936,-,kekahi,,
KLH014a,KLH014a_1480,e,3382,0.05499574128612039,851.1371,851.1920957412862,k,k,0,kekahi,1161,851.0055606606936,851.5846672972605,mahiʻai,-,,
KLH014a,KLH014a_1481,a,3384,0.08309289953672305,851.3175829773211,851.4006758768578,k,h,0,kekahi,1161,851.0055606606936,851.5846672972605,mahiʻai,-,,
KLH014a,KLH014a_1482,i,3386,0.12209568911509905,851.4625716081454,851.5846672972605,h,sp,0,kekahi,1161,851.0055606606936,851.5846672972605,mahiʻai,-,,
KLH014a,KLH014a_1483,a,3388,0.08902810664642402,852.2169942123608,852.3060223190072,sp,h,0,a,1163,852.2169942123608,852.3060223190072,-,hana,,
KLH014a,KLH014a_1484,a,3390,0.04849966500034952,852.4271,852.4755996650003,h,n,0,hana,1164,852.3060223190072,852.6333065967741,a,nō,,
KLH014a,KLH014a_1485,a,3392,0.07291825877712199,852.560388337997,852.6333065967741,n,n,0,hana,1164,852.3060223190072,852.6333065967741,a,nō,,
KLH014a,KLH014a_1486,ō,3394,0.05221775508778137,852.7371,852.7893177550878,n,h,0,nō,1165,852.6333065967741,852.7893177550878,hana,hoʻi,,
KLH014a,KLH014a_1487,o,3396,0.05426475071783443,852.7977966223875,852.8520613731054,h,ʻ,0,hoʻi,1166,852.7893177550878,852.9271,nō,no,,
KLH014a,KLH014a_1488,i,3398,0.059776665755293834,852.8673233342447,852.9271,ʻ,n,0,hoʻi,1166,852.7893177550878,852.9271,nō,no,,
KLH014a,KLH014a_1489,o,3400,0.050025317068048025,852.9800922693302,853.0301175863982,n,k,0,no,1167,852.9271,853.0301175863982,hoʻi,ka,,
