filename	speaker	syll	f0_1	f0_2	f0_3	f0_4	f0_5	f0_6	f0_7	f0_8	f0_9
KLH063a_0045.wav	KLH063a		--undefined--	109.17650742454366	109.07265114444316	110.26593019881687	113.0275169946971	112.50544227299058	110.57125314186143	105.94911800297382	--undefined--
KLH063a_0046.wav	KLH063a		--undefined--	107.34068319834103	101.42491026282148	96.01964442366427	93.81852261580859	92.69238090552027	91.92234697768805	89.23814372152215	--undefined--
KLH063a_0047.wav	KLH063a		--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	85.3436780833593	85.68471429232434	--undefined--
KLH063a_0048.wav	KLH063a		--undefined--	--undefined--	111.85612207023676	112.01578079286509	113.91612302262902	112.86077504873326	112.91133634478253	--undefined--	--undefined--
KLH063a_0049.wav	KLH063a		--undefined--	--undefined--	--undefined--	--undefined--	117.58977741884779	115.28738243689256	112.89900404308764	--undefined--	--undefined--
KLH063a_0050.wav	KLH063a		--undefined--	111.57398777506457	111.19875132058668	113.93349880859354	115.28013267436566	118.06809352119919	120.99067724512699	114.92481929233128	--undefined--
KLH063a_0051.wav	KLH063a		--undefined--	118.91047432018915	118.75604050604521	118.60513894830805	117.48675105597299	116.185938093821	114.21875685197114	114.1365891961572	--undefined--
KLH063a_0052.wav	KLH063a		--undefined--	125.03182193402044	126.56354332049231	129.2180112598084	130.03380399360398	130.85100493617247	131.24919503314817	130.77289487863592	--undefined--
KLH063a_0053.wav	KLH063a		--undefined--	--undefined--	133.59764011879687	128.35029412367294	127.52646294688364	107.91247884727534	107.92290315079613	--undefined--	--undefined--
KLH063a_0055.wav	KLH063a		--undefined--	--undefined--	109.70859084122655	108.53367213402512	105.74702253967332	100.42104993394831	95.2677237164686	--undefined--	--undefined--
KLH063a_0056.wav	KLH063a		--undefined--	110.58530044562038	110.01936212034761	106.42079569007812	104.7091149034744	103.32123824024936	100.15044655273242	98.5702936550153	--undefined--
KLH063a_0057.wav	KLH063a		--undefined--	--undefined--	--undefined--	104.61130453404951	102.03603266431205	98.00978394502745	90.71810150574632	--undefined--	--undefined--
KLH063a_0058.wav	KLH063a		--undefined--	--undefined--	133.81626332017757	123.0975188985711	119.67605717578347	120.07502645586726	119.6651660943041	--undefined--	--undefined--
KLH063a_0059.wav	KLH063a		--undefined--	119.16623325271519	118.61628858379572	118.58619841310752	122.64370567558719	123.90765877936967	125.96046003216698	129.25580743500186	--undefined--
KLH063a_0060.wav	KLH063a		--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--	--undefined--
KLH063a_0061.wav	KLH063a		--undefined--	--undefined--	--undefined--	103.56579774065641	100.40658376984669	99.80378013523993	100.09589065244946	--undefined--	--undefined--
KLH063a_0062.wav	KLH063a		--undefined--	--undefined--	111.8923257780102	111.3410813612975	108.44293125528834	106.51145122859427	--undefined--	--undefined--	--undefined--
