"","filename","vowel","word","start","stress","mahal_mean","mahal_median"
"164","KLH032e_0116","ā","lā",60.2752027818632,"primary",18.6415431516115,19.0574326200153
"165","KLH032a_3085","a","ma",1254.68637005129,"unstressed",18.5676291895729,26.2385377327646
"166","KLH032e_0133","ō","pōʻalua",67.4948,"secondary",18.5462380795889,15.2269895817107
"167","KLH032a_1596","u","akua",748.819330127109,"primary",18.544843748581,21.8090037947508
"168","KLH032a_2139","a","ia",940.3761,"unstressed",18.3910715452701,18.064471775739
"169","KLH032e_1013","ao","pepeiao",381.903414962049,"primary",18.3729946295358,4.77126641885131
"170","KLH032a_0650","u","hua",369.0711,"primary",18.3682639446506,22.4322230553708
"171","KLH032e_0605","a","laila",226.054238021017,"unstressed",18.3486845375039,18.8316270699914
"172","KLH032a_0727","a","ʻia",407.971666780996,"unstressed",18.3462556656477,17.3143282567468
"173","KLH032a_1321","ou","lākou",643.336686082426,"primary",18.277443791659,5.04744864960204
"174","KLH032a_2601","au","kākau",1105.08509624115,"primary",18.2696045900175,12.3797745483299
"175","KLH032a_0548","o","honuapo",317.8421,"secondary",18.1845209895725,4.44180623304723
