file,label,group,color,number
KLH032d_0005.wav,ō,9,Lime,3518
KLH032d_0006.wav,au,14,Maroon,3519
KLH032d_0007.wav,i,3,Black,3520
KLH032d_0008.wav,ā,6,Yellow,3521
KLH032d_0009.wav,ā,6,Yellow,3522
KLH032d_0010.wav,ou,20,Blue,3523
KLH032d_0011.wav,e,2,Blue,3524
KLH032d_0012.wav,a,1,Red,3525
KLH032d_0013.wav,i,3,Black,3526
KLH032d_0014.wav,e,2,Blue,3527
KLH032d_0015.wav,a,1,Red,3528
KLH032d_0016.wav,i,3,Black,3529
KLH032d_0017.wav,o,4,Green,3530
KLH032d_0018.wav,ā,6,Yellow,3531
KLH032d_0019.wav,ou,20,Blue,3532
KLH032d_0020.wav,o,4,Green,3533
KLH032d_0021.wav,e,2,Blue,3534
KLH032d_0022.wav,o,4,Green,3535
KLH032d_0023.wav,o,4,Green,3536
KLH032d_0024.wav,u,5,Olive,3537
KLH032d_0025.wav,a,1,Red,3538
KLH032d_0026.wav,ai,11,Teal,3539
KLH032d_0027.wav,ei,22,Green,3540
KLH032d_0028.wav,a,1,Red,3541
KLH032d_0029.wav,i,3,Black,3542
KLH032d_0030.wav,o,4,Green,3543
KLH032d_0031.wav,a,1,Red,3544
KLH032d_0032.wav,u,5,Olive,3545
KLH032d_0033.wav,a,1,Red,3546
KLH032d_0034.wav,a,1,Red,3547
KLH032d_0035.wav,a,1,Red,3548
KLH032d_0036.wav,āi,15,Grey,3549
KLH032d_0037.wav,i,3,Black,3550
KLH032d_0038.wav,o,4,Green,3551
KLH032d_0039.wav,ā,6,Yellow,3552
KLH032d_0040.wav,ou,20,Blue,3553
KLH032d_0041.wav,a,1,Red,3554
KLH032d_0042.wav,a,1,Red,3555
KLH032d_0043.wav,o,4,Green,3556
KLH032d_0044.wav,a,1,Red,3557
KLH032d_0045.wav,o,4,Green,3558
KLH032d_0046.wav,o,4,Green,3559
KLH032d_0047.wav,u,5,Olive,3560
KLH032d_0048.wav,i,3,Black,3561
KLH032d_0049.wav,ō,9,Lime,3562
KLH032d_0050.wav,ō,9,Lime,3563
KLH032d_0051.wav,a,1,Red,3564
KLH032d_0052.wav,e,2,Blue,3565
KLH032d_0053.wav,a,1,Red,3566
KLH032d_0054.wav,a,1,Red,3567
KLH032d_0055.wav,a,1,Red,3568
KLH032d_0056.wav,i,3,Black,3569
KLH032d_0057.wav,a,1,Red,3570
KLH032d_0058.wav,a,1,Red,3571
KLH032d_0059.wav,o,4,Green,3572
KLH032d_0060.wav,e,2,Blue,3573
KLH032d_0061.wav,a,1,Red,3574
KLH032d_0062.wav,i,3,Black,3575
KLH032d_0063.wav,i,3,Black,3576
KLH032d_0064.wav,a,1,Red,3577
KLH032d_0065.wav,u,5,Olive,3578
KLH032d_0066.wav,e,2,Blue,3579
KLH032d_0067.wav,a,1,Red,3580
KLH032d_0068.wav,o,4,Green,3581
KLH032d_0069.wav,i,3,Black,3582
KLH032d_0070.wav,a,1,Red,3583
KLH032d_0071.wav,i,3,Black,3584
KLH032d_0072.wav,o,4,Green,3585
KLH032d_0073.wav,e,2,Blue,3586
KLH032d_0074.wav,a,1,Red,3587
KLH032d_0075.wav,o,4,Green,3588
KLH032d_0076.wav,u,5,Olive,3589
KLH032d_0077.wav,i,3,Black,3590
KLH032d_0078.wav,o,4,Green,3591
KLH032d_0079.wav,a,1,Red,3592
KLH032d_0080.wav,o,4,Green,3593
KLH032d_0081.wav,e,2,Blue,3594
KLH032d_0082.wav,au,14,Maroon,3595
KLH032d_0083.wav,a,1,Red,3596
KLH032d_0084.wav,ae,12,Navy,3597
KLH032d_0085.wav,a,1,Red,3598
KLH032d_0086.wav,o,4,Green,3599
KLH032d_0087.wav,o,4,Green,3600
KLH032d_0088.wav,u,5,Olive,3601
KLH032d_0089.wav,u,5,Olive,3602
KLH032d_0090.wav,ei,22,Green,3603
KLH032d_0091.wav,ō,9,Lime,3604
KLH032d_0092.wav,ae,12,Navy,3605
KLH032d_0093.wav,a,1,Red,3606
KLH032d_0094.wav,o,4,Green,3607
KLH032d_0095.wav,a,1,Red,3608
KLH032d_0096.wav,o,4,Green,3609
KLH032d_0097.wav,e,2,Blue,3610
KLH032d_0098.wav,ū,10,Purple,3611
KLH032d_0099.wav,u,5,Olive,3612
KLH032d_0100.wav,a,1,Red,3613
KLH032d_0101.wav,o,4,Green,3614
KLH032d_0102.wav,i,3,Black,3615
KLH032d_0103.wav,o,4,Green,3616
KLH032d_0104.wav,a,1,Red,3617
KLH032d_0105.wav,ai,11,Teal,3618
KLH032d_0106.wav,i,3,Black,3619
KLH032d_0107.wav,a,1,Red,3620
KLH032d_0108.wav,o,4,Green,3621
KLH032d_0109.wav,a,1,Red,3622
KLH032d_0110.wav,u,5,Olive,3623
KLH032d_0111.wav,ā,6,Yellow,3624
KLH032d_0112.wav,e,2,Blue,3625
KLH032d_0113.wav,a,1,Red,3626
KLH032d_0114.wav,o,4,Green,3627
KLH032d_0115.wav,i,3,Black,3628
KLH032d_0116.wav,a,1,Red,3629
KLH032d_0117.wav,e,2,Blue,3630
KLH032d_0118.wav,a,1,Red,3631
KLH032d_0119.wav,a,1,Red,3632
KLH032d_0120.wav,u,5,Olive,3633
KLH032d_0121.wav,a,1,Red,3634
KLH032d_0122.wav,ā,6,Yellow,3635
KLH032d_0123.wav,a,1,Red,3636
KLH032d_0124.wav,i,3,Black,3637
KLH032d_0125.wav,a,1,Red,3638
KLH032d_0126.wav,e,2,Blue,3639
KLH032d_0127.wav,ai,11,Teal,3640
KLH032d_0128.wav,a,1,Red,3641
KLH032d_0129.wav,a,1,Red,3642
KLH032d_0130.wav,u,5,Olive,3643
KLH032d_0131.wav,i,3,Black,3644
KLH032d_0132.wav,o,4,Green,3645
KLH032d_0133.wav,i,3,Black,3646
KLH032d_0134.wav,a,1,Red,3647
KLH032d_0135.wav,u,5,Olive,3648
KLH032d_0136.wav,i,3,Black,3649
KLH032d_0137.wav,ā,6,Yellow,3650
KLH032d_0138.wav,o,4,Green,3651
KLH032d_0139.wav,u,5,Olive,3652
