X,filename,vowel,word,start,stress,mahal_mean,mahal_median,edit
48,KLH033a_0149,o,kekauʻokoʻa,126.532,unstressed,17.87997225,19.35752808,0
49,KLH033a_0717,o,kaluhiʻōpiopio,431.401917,unstressed,17.67843873,9.798980918,0
50,KLH033a_0376,o,kope,225.2196743,primary,17.6299825,5.98710713,0
51,KLH033a_0100,a,kūpuna,104.6227586,unstressed,17.5632341,17.06493731,0
52,KLH033b_0109,a,hana,59.2211,primary,17.17384608,6.847567384,0
53,KLH033b_0238,ū,kūmā,109.9794349,secondary,17.13746757,13.40420488,0
54,KLH033e_0318,o,noho,165.3869,unstressed,16.64226519,20.69720073,1
55,KLH033d_0258,ō,ʻōpelu,137.3143,secondary,16.50402436,12.5632648,1
56,KLH033e_0272,o,noho,141.0816357,primary,16.48546608,16.91191596,
57,KLH033a_0679,ā,kāhea,422.4875745,secondary,16.06202581,13.12854002,0
58,KLH033a_0074,o,kona,87.70623138,primary,15.9929856,16.49222157,
59,KLH033b_0273,o,hoʻomaopopo,138.1706136,0,15.94612932,13.89979263,1
60,KLH033e_0394,u,pua,209.0622196,primary,15.64306541,15.29780085,0
61,KLH033e_0393,ou,mākou,208.7596992,primary,15.46167587,8.69368772,0
62,KLH033a_0295,o,noho,189.3839,primary,15.36690128,14.26969576,0
63,KLH033b_0145,a,kaikamahine,71.02237036,unstressed,15.27418432,15.04537173,0
64,KLH033b_0209,o,aʻo,96.43292036,unstressed,14.99595894,11.96631217,1
65,KLH033a_0765,a,ia,446.3596302,unstressed,14.92740952,14.43540109,
66,KLH033a_0681,a,kāhea,422.7356363,unstressed,14.75405173,13.84859498,
67,KLH033d_0150,ū,kūʻai,98.13301708,secondary,14.73897639,7.313671936,1
68,KLH033e_0424,a,ʻaʻala,229.9692497,unstressed,14.59247409,12.60503757,
69,KLH033a_0602,o,loko,375.7678,unstressed,14.48796328,17.88641722,0
70,KLH033a_0019,a,ʻāina,55.8941827,unstressed,14.42360694,12.44341241,0
71,KLH033e_0231,u,ʻumi,126.5519,primary,14.40578152,14.41787773,1
72,KLH033a_0760,e,naʻe,445.5336063,unstressed,14.36622196,13.57959045,
73,KLH033b_0777,a,kana,452.6787,unstressed,14.32233864,13.52964657,0
74,KLH033a_0821,āu,lāua,468.1834626,primary,14.29498596,2.579240442,1
75,KLH033a_0532,a,akā,333.887326,unstressed,14.26444558,0.254563109,1
76,KLH033a_0595,o,iho,365.590211,unstressed,14.25347573,13.69763579,
77,KLH033a_0621,ū,kūpuna,402.2099,secondary,14.23757873,14.09689576,0
78,KLH033b_0185,a,kona,87.68897738,unstressed,14.2017844,14.85061726,
79,KLH033e_0422,a,ʻaʻala,229.5863826,unstressed,14.16197665,13.6633592,
80,KLH033d_0595,ou,hou,319.1443263,primary,14.14116523,7.447105231,0
81,KLH033b_0522,o,noho,322.5306,primary,14.05829242,13.7532242,
82,KLH033a_0715,o,kaluhiʻōpiopio,431.0454569,unstressed,14.02560944,13.60396104,
83,KLH033a_0795,o,ʻōpiopio,459.8506652,unstressed,13.98599802,13.62143548,
84,KLH033b_0783,o,ʻokakopa,456.9135,secondary,13.96097744,14.64825564,1
85,KLH033b_0944,au,pau,535.8348418,primary,13.95405473,6.035742122,0
86,KLH033a_0669,a,ia,419.423855,unstressed,13.85745327,13.77251816,
87,KLH033b_0195,o,hoʻoholo,90.89401161,unstressed,13.56211464,13.32506081,
88,KLH033d_0335,ai,maila,168.1611217,primary,13.51196132,5.317802173,
89,KLH033d_0339,o,honolulu,168.6375906,unstressed,13.48097318,12.48001565,1
90,KLH033a_0970,a,makaʻu,534.2189244,primary,13.42546843,10.91843484,4
91,KLH033d_0453,o,noho,258.7933,primary,13.24698999,12.18752647,
92,KLH033b_0210,o,hoʻohele,98.28088793,unstressed,13.21882195,8.883563851,0
93,KLH033d_0068,o,hoʻomaopopo,76.0333,0,13.20458625,6.100163927,1
94,KLH033a_0321,a,ʻaʻole,208.7826444,unstressed,13.14250735,17.05433872,1
95,KLH033a_0040,ou,keauhou,70.29,primary,13.12855972,1.304525003,0
96,KLH033b_0607,ū,kūpuna,368.5012248,secondary,13.09059469,11.88430422,0
97,KLH033e_0382,o,hoʻomaopopo,203.9036185,primary,13.08203446,15.03233402,1
98,KLH033e_0372,au,walaʻau,189.7264455,primary,13.05749721,7.460491562,0
99,KLH033e_0199,a,mākaha,114.8448759,primary,12.91747981,14.43195463,0
100,KLH033d_0417,au,wau,216.5570525,primary,12.87668224,9.992906321,0
101,KLH033d_0627,o,noho,334.585468,primary,12.87547969,11.27417786,
102,KLH033a_0399,o,kope,250.2382,primary,12.8338656,0.604669752,
103,KLH033e_0152,au,aupuni,91.52548429,secondary,12.77503232,7.570147545,1
104,KLH033d_0348,ō,hōʻea,182.312504,secondary,12.6680452,10.79646571,
