file,c11,c21,c31,c12,c22,c32,c13,c23,c33,c14,c24,c34,c15,c25,c35,c16,c26,c36
KLH014b_1151,854.2,1459,2401.4,-176.5,36.1,72.4,-79,-24.4,71,12.7,-3,1.3,-10.8,0.2,-27.3,2.4,-3.2,-3.8
KLH014b_1152,855.3,1436.7,2490.6,136.1,-49.1,-64.5,-62.2,35,21.3,22.3,-1.2,-14.3,-12.9,-6.7,5.6,4.8,-8.2,4.5
KLH014b_1153,440,1606.7,2699,5,93.1,205,-24.3,-71.8,-77.9,0.9,34.9,-25.8,-1.7,-15.6,26.6,0.3,2.9,-16.6
KLH014b_1154,564.5,958.7,3044.9,-104.6,-123,-108.2,-49.7,134.1,-33.7,6.9,-169.5,-64.4,-34.2,105.4,-12.5,30,-43.3,12.4
KLH014b_1155,791.8,1206.5,2780.3,104.1,37.8,-25.7,-75.9,-32.3,-23.9,-11.2,0.3,-8.3,-24,-6,-12.7,-8.1,6.4,-6.6
KLH014b_1156,446.7,857.1,2884.6,34.4,46.3,29.9,6.5,8.4,-30.1,15.9,2.6,6.9,-3.2,-4,-1.4,11.1,12.1,8.8
KLH014b_1157,546.3,1091.2,2801.1,-12.7,-376,-225.5,32.6,385.5,79.6,-25.8,-248.6,-162,38.2,260.9,112.9,-27.4,-140.8,-73.5
KLH014b_1158,486.3,1236.1,2538.2,73,-226.1,-106.5,-7,43.3,23.9,-17.1,-50.9,-0.9,-6.6,4.3,6.2,6.3,-5.8,31.9
KLH014b_1159,362.1,1647.1,2642.5,9.4,12.7,-24.1,12.7,-68.8,7.4,7,-28.1,26.4,2.7,-14.3,-7.2,2.1,-3.1,-12.8
KLH014b_1160,487.5,1361.3,2560.6,-20.9,-85.1,-32.8,-10.8,91.7,16.6,13.9,1.6,-2.5,-7.1,19,16.2,-5.5,-0.6,15.5
KLH014b_1161,323.4,2345,2765.4,37,-330.4,-106,24.3,-127.9,-91.9,14.6,11.4,10.2,11.5,67,-10.6,-5.6,13.7,15.1
KLH014b_1162,366.8,2407.5,2936.7,46.4,-103.9,-87.9,-2.1,-80.7,-8.3,-34.4,49.2,17.7,-16.1,-8,41.1,-6.2,19.7,45.5
KLH014b_1163,497.2,1808.1,2688.1,-77.9,451.2,179.1,-38.2,6,1.7,19.7,18.3,49.2,-22.5,25.2,3.6,10,15.1,0
KLH014b_1164,416.8,1954.5,2818.3,-0.3,38.6,-90.2,-35.1,-96,-1.2,1.7,22,-21.4,-10.1,-34.4,-22.5,0.6,-19.4,-4.7
KLH014b_1165,370.3,2083.5,2852.4,-3.5,-167.5,-41.5,33.7,-15.3,14.4,-28.1,-6.5,13,35.3,-33.7,-18.4,-19.6,-5.7,18.7
KLH014b_1166,361.9,2293.1,2794.5,46.7,-118.3,23.4,-0.8,-42.7,-35.2,-4,100.4,56.3,-2,-82.1,-19.2,-0.8,65.6,26.6
KLH014b_1167,439.2,2064.8,2832.2,43,6.2,-125.9,-52.5,-56.7,-106.5,12,-10.9,-29.3,-18.3,-78.4,-41.6,3.3,-42.6,-7.3
KLH014b_1168,342,2483.6,2976.9,-14.3,-127.9,-24.3,8.7,-25,16.4,-0.7,-42.6,-13.6,-12.6,-15.7,29.4,11.2,-2.1,-6.2
KLH014b_1169,368.5,2677.6,3007.1,67.2,83.6,-80.7,93.5,-44.8,-18.7,74,-11,131.7,43.5,-5.3,90.9,25.4,-7.2,-37.7
KLH014b_1170,487.1,2196,2721.3,-117.8,316,217.8,-30.7,32.8,22.8,10,21.5,24,-4,-31.6,-13.7,9.6,29.4,20
KLH014b_1171,357.8,2441.5,2803.8,10,-86.1,-48.4,22,-96.7,-48.2,-18.5,0.4,30.9,4.4,-29.8,-0.7,-13.4,25.4,4.4
KLH014b_1172,531.3,1691.5,2590.5,-60.5,418.9,105.8,-31.3,41.2,18.5,8.4,50.7,29.8,-6.6,-0.5,5.1,0.9,9.8,1.3
KLH014b_1173,424.2,1004.2,2745.4,116.2,-131.1,-9.4,-39,91.8,4.4,-3.7,-131.2,7.5,-22.4,0.9,-11.9,3.4,-32.8,17.9
KLH014b_1174,308.1,2461.3,2891.2,-15.6,80.7,268.9,-12.7,-20.5,6.8,-6.1,-3.2,98.4,-6.2,-48.3,-4.7,-2.4,0.4,22.3
KLH014b_1175,372.7,2041.8,2763.6,16,-94.6,-133.3,-34.6,-101.9,-97.1,0.9,-59.4,-20.6,-5.6,-58.8,-20.4,-1,-18.8,-2.2
KLH014b_1176,316.5,2038.9,2805.5,2.5,57.4,138.3,-15.1,-91.2,-101.2,10,25.4,4,-7.8,-101.4,-10,5.7,-25.2,16.3
KLH014b_1177,381,2153.8,2697.6,100.9,-349,-104.7,7.6,-197.1,-31.6,-2.1,3.9,-73.2,-24.3,-57.1,105.9,-11.8,5.6,15.4
KLH014b_1178,508.4,984.4,2618.7,-6,145.6,-16,-24.6,39.9,-38.8,-1.3,13.5,-31.7,-7,10.7,8,1.7,9.3,1.1
KLH014b_1179,674.4,1121.4,2567.7,23.8,70.9,-36.8,-38.3,-62.8,33.7,-39,-77.7,-14.9,-15.7,-37.5,-11.4,-33.7,-37.1,-28.9
KLH014b_1180,705.2,1165,2779.8,56.1,-11.2,12.6,-101.2,-31.8,98.1,-15.3,-44.5,-45,-27.9,14.1,-7,-5.9,-17.4,-24.3
KLH014b_1181,369.2,860.9,2728.6,3.2,104,-44.3,3.9,210,194.1,-9.2,100.4,219.7,2.1,81.5,-1.3,-6.8,33.1,-80.3
KLH014b_1182,487.3,1158.5,2690.9,-4.5,-162.4,-16.1,-50.1,-35.7,61.2,7.4,-3.4,28.9,-22,1.4,-6.5,4.8,-7.6,20.4
KLH014b_1183,498.4,998.5,2958.3,-45.8,29.7,-113,13.2,71.9,-131.2,20.2,60.5,-52.6,12,-1.7,-59.7,-3.6,23.8,-38.8
KLH014b_1184,699.9,1099.6,2843.9,-120.9,-100.9,30.2,21.2,39.8,42.3,-26.4,-1.5,5.4,29.7,-14.9,-0.6,-1.5,23.5,4
KLH014b_1185,944.9,1294.8,2576.9,-111.5,-3.4,-26,4.2,-0.1,15,14.5,-4.8,-3.9,-49.9,4.4,2.4,-3.7,-11.4,16
KLH014b_1186,796.1,1493.9,2553.2,180,-140,-23.5,-52.8,2.2,28.6,25,5.9,-10.2,-1.2,-10.7,-2.1,19,-7.7,-4.8
KLH014b_1187,460.3,1617.3,2739.2,6.8,289.9,104.3,-15.2,-106.1,50.4,1.5,-33.3,-17.5,-3.5,7.9,-1.5,-1.4,21.6,-7.3
KLH014b_1188,500,821,2475.2,-30.3,60.9,312.4,11.6,-45.7,-243.5,21,-2.5,-122.4,-27.8,16.8,152.9,39.8,-29.1,-78.4
KLH014b_1189,726.6,1105.3,2688.4,35.1,5.6,-0.6,-81.4,-38.5,-27.2,19.7,0.2,-28.1,-19.9,-4.7,-37.2,14.3,-1.7,-2.5
KLH014b_1190,514,970.1,2846.2,3.8,-25.5,-8.2,0.2,13.2,42.7,10.2,-3.4,-14.9,-7.9,10.6,-19.9,8.6,2,-14.5
KLH014b_1191,497.3,921,2731.4,-44.1,-87,58.7,33.1,84,-24.2,32,-38,25.2,-10.3,-17.8,4,8.7,-14.4,-9.9
KLH014b_1192,370.3,2457.4,2881,30.3,5.1,-85.7,4.1,-98.5,-54.8,3.9,8.6,14.9,16.3,-29.3,-1.6,4.8,1,12
KLH014b_1193,747.1,1525.5,2777.9,-47.7,52,9.5,-161.1,40.6,-38.6,3.2,16.7,-51.8,-15.6,5.3,67.4,-12.9,-3.4,-7.2
KLH014b_1194,1027.9,1543.5,2912.9,-41.9,-71.5,65.7,89.6,51.9,-37.4,23,9.4,-43.3,14.3,-8.1,-2,4.4,-8.3,-86.8
KLH014b_1195,847.1,1700.6,2823,61,-166.6,32.2,13.6,12.9,-27.2,35.1,-42.6,-22.3,-26.5,16,16.7,21.6,-13,9.5
KLH014b_1196,384.8,2589.7,3003.4,-4.2,85.8,91.4,0.4,-116.6,-8.9,-0.4,28,7.7,-16.7,-53.5,-14.6,4.1,7.3,-3.8
KLH014b_1197,520.6,1009.4,2708.9,-11.4,-0.2,158.5,12.7,138.7,-81.5,1,2.1,-24,-11.7,39.3,14.2,9.6,-2.7,-26.3
KLH014b_1198,330.9,2547.3,3037.3,43.6,-216.4,-115.6,18.3,-248.7,-147.1,23.4,-196.7,-55.4,9.4,-152.3,-9.3,6.7,-103.3,-1.8
KLH014b_1199,485.3,1187.7,2678.2,46.9,-256.2,89.4,-37.4,117,71.5,10.8,-5.3,37.4,-12.1,13.8,40.3,9.4,1.8,24.1
KLH014b_1200,289.7,1978.8,2743.9,89.3,-132,-91,-20.1,-33.6,11.5,5.2,-33.2,14.4,6.6,-32,-39.8,-6.5,12.3,1.2
KLH014b_1201,475.9,1335.1,2546.3,-61.2,7.3,-35.1,-29.6,125.6,1.3,10.2,21.7,14.4,-13.4,-6.3,-27.7,-14.5,12.9,65.4
KLH014b_1202,353.6,2230.4,2786.3,48.3,-147.2,-37.9,23.3,-90.2,-26.4,11,-5.7,8.1,-0.4,-17.7,24.8,10,3.3,-25.4
KLH014b_1203,478.9,1955.7,2759.2,31.7,34.6,-82.7,-44.3,-94.9,-75.1,-11.4,-20.1,-19.6,-14.7,-43.3,-39.6,-4.8,-8.9,-10.9
KLH014b_1204,401.9,2213.8,2841.2,63.7,-119.9,0.9,-6.8,-135.3,-51.2,15.3,-22.6,9.2,-1.2,-64,-14.8,17.5,10.1,-4.1
KLH014b_1205,841,1477.8,2571.5,80.5,-104.9,96.4,-14.1,24.8,-10.4,21.3,-8.2,6,12.5,18,22.8,18.9,-15.6,15.7
KLH014b_1206,369.3,2383.1,2933.7,36,-321.6,23.3,-18.2,-40.2,-22.1,15.3,-104.9,-44,-4.9,-5,17.8,6.9,-68.8,13.3
KLH014b_1207,482.3,910.3,2815.5,41.1,219.1,-172.1,-10.4,-81.1,-13,-70.7,-1.9,51.7,-5.4,-29.4,14,-23.5,41.6,7.8
KLH014b_1208,553.3,942.5,2645.2,68.8,-280.3,116.1,15.5,-30.2,-1.9,-5.3,-9.8,5.2,-21.8,-0.4,-8.1,-18.5,-30.2,17.8
KLH014b_1209,433.8,1430.5,2082.8,-33.7,22.7,-14.4,-7.9,10.1,7.7,-1.6,7.9,-1.8,-2.3,7.1,13.5,-1.5,6.7,-8.3
KLH014b_1210,538.9,1221.9,2576.9,-48.8,44.5,-27,-6.8,-9.2,-7.4,-13.7,19.4,-38.3,-3.8,-8.7,18.5,-5.4,7,-4.4
KLH014b_1211,357.5,1185,2702.9,14.2,-212.2,49.6,2.2,118.2,-3.6,4.8,-70.1,-5.3,2,45.5,8.7,2.3,-17.7,3.8
KLH014b_1212,343.1,2338.8,2835.4,-34.9,-9.4,-83.3,40.5,-271.9,-101.9,-20.7,-43.6,-1.1,14.9,-114.7,1.4,-15.2,-36.8,29.6
KLH014b_1213,746.8,1535,2497.6,-100.8,256.1,111.5,-107,55.4,159,4,70.3,62.2,-18.2,5.5,-38.8,7.4,6.3,-58.1
KLH014b_1214,509.4,1037.4,2739.1,-18.5,-302.1,79.1,5.4,73.5,-32.8,6.8,-3,-14.9,-3,36,-3.6,0.8,-3.9,-1.8
KLH014b_1215,538.7,1854.6,2741.7,-62.7,12.3,-3.2,4.8,-131.1,-55.2,31.7,-87.5,-15.8,-7.3,-65.5,32.6,14.1,-57.4,3.1
KLH014b_1216,808.7,1552.8,2843.2,50.9,-29.3,-6.4,-170.7,20,-8,-11.9,-17.7,-17.8,-42.3,-17.3,-25.1,-15,-6.2,-2.4
KLH014b_1217,483.3,2076.4,2949.9,42.6,-295.8,-72.6,-69.1,26.8,-19,-31.8,-59.5,-8.2,-25.4,6.5,-15.4,-12.7,-19.3,3.6
KLH014b_1218,355.4,2478.1,2950,5.7,84.5,68.5,15.6,-30.9,-14.5,-11.5,22.2,-24.3,16.1,-5.3,2.9,-8.9,12,0.4
KLH014b_1219,710.8,1337.3,2435.4,122.9,116.2,-105.7,9.7,0.1,-2.8,35,44.3,-36.2,4.1,12.4,-5.7,-17.8,4.1,23
KLH014b_1220,459.6,1045.4,3040.8,20.1,378.2,115.6,38.6,334,-36,-16.3,266.3,27.3,-39.9,391.8,1.8,-2.7,115,11.2
KLH014b_1221,579.3,1084.5,2563.9,1,14.6,6.6,26.2,108.4,26.2,-4.4,74.2,-23.5,13.7,19.5,-16.2,-7.7,-1,38.8
KLH014b_1222,564.6,2036.4,2716.3,20.3,-94.7,-24.5,23.7,-32.3,-44,2.9,-55.1,-33.5,-0.4,-19.2,-8.7,14.2,-24.1,-12.6
KLH014b_1223,579.5,2142.8,2821.1,11.6,97.2,-9.2,-29.8,-41.5,-4.8,25.5,11.6,14.2,2.6,-30,-15.3,16.3,20.6,-15.1
KLH014b_1224,495.8,2215.8,2886,62.2,-225.9,-117.7,-23.4,-26.7,-39.1,-16.1,-15.4,2.5,-17.3,-31.6,-6.3,-10.3,15.2,-10.9
KLH014b_1225,403.8,2469.7,2883.8,8.2,9.5,61.8,2.1,-38.4,-19.4,1.3,-21.1,-22.2,-1.2,-39.8,12.5,0.2,-8.4,-42.1
KLH014b_1226,599,1899.6,2474.3,-54.2,-19.3,-76.5,-16.8,48,54.1,-5.9,16.5,-7.2,-2,-5.2,-12.9,-7.5,-15.5,-11.2
KLH014b_1227,557.3,1996.2,2725,67.5,37.1,-8.3,-20.3,-29.2,-12,9.8,-3.1,38.7,0.4,-15.2,29.3,1.2,19.2,-10.6
KLH014b_1228,405.5,1281.4,2774.5,2.7,229.3,13.8,-19.5,49.9,-14.2,-22.9,44.8,43,-1.6,-8.9,-3,0.4,2.8,-46.2
KLH014b_1229,469.9,2004.2,2598.1,180.8,-246.6,-298.4,-37.1,-36.9,-53.4,-1.4,7.6,82.7,6.6,-20,63.8,-6.7,49.2,17.4
KLH014b_1230,504.9,1317,2642.3,39.8,-209.6,89.4,-10.4,30.7,-22.8,24.2,-12,2.2,-0.8,8,-3.6,9.2,4.2,9.7
KLH014b_1231,392.2,1707.3,2594.7,12.8,-17.3,-4.2,4.9,-35.9,20.8,-4.1,-12.2,-25.4,5.3,-39.7,0.7,1.5,8.8,-5.4
KLH014b_1232,535.7,1358.1,2500.7,-7.9,-25.7,21.5,-18.2,27,-33.1,-8.1,-2,-14.1,-1.4,10.4,0.5,1.2,1.9,-14.9
KLH014b_1233,463.9,2046.1,2650.4,15.4,-91.4,-98.6,23,-61.2,-51.1,-0.1,-23.3,-6.3,13.2,-32.6,-19.5,-0.9,-10.7,-3.6
KLH014b_1234,465,1953.6,2678.2,-4.8,234.6,117.1,-39.1,-156.5,-120.1,12.7,66.2,-53.5,-30.9,-4.3,-18.1,-0.1,17.6,-7.9
KLH014b_1235,386.6,1127.5,2765.4,9.3,-120,38.8,-31.2,132.3,-54.9,2.3,22.2,-14.1,-11.6,23.2,-10.7,-0.7,-25.8,6.9
KLH014b_1236,338,2124.7,2714.2,-43.9,201.8,93.4,18.4,-104.9,-57.6,-8.6,21.6,-11.3,-1.4,-25.9,-9.2,-0.5,-4.6,-4.3
KLH014b_1237,561.8,1887.4,2692,59.7,-190.9,-251.5,13.5,-176.1,-102.4,-4.5,5.6,7.2,-7.2,-47.1,-7.9,-5,-14.5,15.2
KLH014b_1238,655.7,1644.7,2549.2,9.7,-4.4,-28.3,-21.5,29.3,103.3,5.5,43.7,25.9,-11.5,-21.8,33.7,-10.5,-7,8.4
KLH014b_1239,625.6,1267.4,2687.6,-42.6,195.2,336,-63.6,2.2,79.7,-57.7,31.1,-62.7,-26.1,25.4,-74.4,-10.2,-12.3,4.7
KLH014b_1240,710.9,1681.1,2565.6,92.4,-93.6,-36.2,-83.8,16.8,169.2,10.8,24.6,94.8,-10,4.9,70.9,10.3,12.8,62.7
KLH014b_1241,308.7,2437.8,3066.8,50.6,-148.9,-57.2,-2.5,-51.5,-33.6,-7.3,-41.3,2,1.1,-30.3,-1.7,-1,-20.2,-1.7
KLH014b_1242,821.6,1410.3,2310.7,6.1,-209.8,-21.7,-149.6,25,90.2,-38.9,-108.3,-113.8,-11.9,-18.1,-35.9,-40.4,-48.5,25.7
KLH014b_1243,539.8,1999.4,2681.2,56.8,-88.7,-40.2,47.3,-50.1,-86.7,4.8,4,-15.9,20.3,-28.3,-8.8,-4.3,8.6,-4.5
