file,c11,c21,c31,c12,c22,c32,c13,c23,c33,c14,c24,c34,c15,c25,c35,c16,c26,c36
KLH057a_0053,321.2,1722.1,2205.6,-0.7,-154.5,-132.3,-11.2,-54.6,40.4,-5.9,-12.5,-6.5,4.2,-23.7,-5.5,-0.5,-26.6,3.1
KLH057a_0054,293.7,1934.6,2340.3,20.7,-92.4,-60.3,9.2,3.6,45.5,14.9,-9.3,-29,5.4,-13,0.2,0.9,2.9,0.5
KLH057a_0055,352.2,1736.4,2369.2,-28.6,7,47.5,-14.7,0.8,-0.8,-0.2,9.4,26.5,3.2,0.4,4.5,-0.5,2.4,1.9
KLH057a_0056,366.3,1750.3,2285.6,26,-83.6,-82.1,-12.2,6.4,1.4,4.1,8.8,18.2,-10.4,2.4,20,3.5,14.7,5.1
KLH057a_0057,391.1,934.4,2148.1,81.8,173.5,-42.9,-32.3,-37.3,-20.8,12.5,2.2,10.2,-13.3,10,0,-1.7,-22,-0.1
KLH057a_0058,437.3,1486.5,2014.1,26.9,-108.6,-59.4,-29.8,36.7,-9,-1.3,-12.8,7.1,-12.9,9.3,-2.8,-1.4,-7.5,-5
KLH057a_0059,290.6,1797.8,2251.4,22.3,-40.7,0.1,4.1,-55.9,-73,-2.2,-7.6,2.1,-3,-2.2,-20,-0.7,-0.9,11.1
KLH057a_0060,399.8,948.7,2116.6,62.5,58.3,-124.2,-35.6,54.4,25.7,9.9,-27.9,-45.5,-13.4,21.1,29.5,5.7,12.6,-25.9
KLH057a_0061,405.6,1199.7,2024.2,0.3,-195.2,21.6,-4.9,10.7,10.3,-2,-3.5,1.4,1.6,12.7,-6.1,0.3,-19.6,3.9
KLH057a_0062,346.7,1722.8,2202,33.2,22.3,-44.1,-1.5,-96.1,-119.3,4.3,12.4,13.2,-1.3,-47.4,-18.6,-0.3,2.6,1
KLH057a_0063,365.3,1558.5,2204.6,93.6,-427.6,-218.8,-18.4,-144.5,138,-12.7,-38.9,18.2,-21.1,12.4,10,-8.1,-13.2,-14.7
KLH057a_0064,432,1450.8,2118.4,-14,154.9,83.5,-20.4,-20.9,-26,-6.2,12.7,-20.8,-1.5,12,6,-0.6,8.1,0
KLH057a_0065,407.9,1092.8,2143,13.1,63.7,18.9,-12.4,-31.4,12.7,2.4,14.4,-1,-5.5,-9.3,-9.2,-0.1,0.1,-0.5
KLH057a_0066,428.5,1059.5,2019,28.5,-98.9,-14.8,-31.7,37,31.2,-5.8,-29.9,39.2,-11.2,7.4,-24.4,3.9,-6.7,4.3
KLH057a_0067,330,1757,2366.4,-19.3,27.5,-60.5,14.4,-32,-45.1,-1.1,-5.9,-20.4,5.2,-2,18.6,-0.8,-9.9,11.7
KLH057a_0068,397.1,1525,2120.9,16.9,187.6,155.6,-27.8,-9.2,129.7,3.1,-3.1,39.2,-8.2,-1.3,4,2.9,7.2,-10.2
KLH057a_0069,481.7,1065.7,2117.1,53.9,-82.7,-44.8,18,-75.7,14.7,2.6,-37.4,3.4,13.2,-48.8,6.4,11.5,-15.9,14.7
KLH057a_0070,392.4,1427.4,2121.7,6.7,20.5,-6.1,-3.4,-32.9,-2.2,-3.9,-16.4,7.7,0.7,-2.1,-1.3,-3.3,31,6.2
KLH057a_0071,407,1206.1,2139.7,38.2,26.5,61.7,4.4,77.9,22.9,-22.3,-103.2,-9,-21.2,0,7.4,-4.3,-21.5,-21.9
KLH057a_0072,326,1527.8,2058.1,17,-65.3,-7,21.3,-28.7,-36.6,-8.9,6.5,40.4,4.4,-9.8,-9.4,-2.8,-0.3,-22.5
KLH057a_0073,465.5,1299.7,2151.3,73,45.5,-37.3,-41.3,32.3,54.4,-16.9,25.9,-24.4,-0.8,17.5,16.2,-2.1,18.1,-22.1
KLH057a_0074,387.3,1168.1,2151.4,20.8,105.8,180.7,-2.9,84.8,59.8,-0.4,-74.7,32.8,-19.6,9.3,20.4,-3.9,-22.4,-16.8
KLH057a_0075,356.3,1616.9,2155.6,18.1,-103.1,-129.9,-25,-42.4,18,2.5,-35.3,-8.8,-12.4,-26.7,34.4,9.2,8.1,8.5
KLH057a_0076,514.1,1209.4,2195.8,109.8,-28.2,44.8,-35.9,-39.2,-54.6,-16.1,-18.6,20.6,-27.9,-8.1,-11.3,-10.5,-4.5,0.3
KLH057a_0077,366.4,1025.6,2034.4,-4.3,205.5,31.5,-0.3,52.7,12.8,2.2,19.8,0.6,-0.6,6.6,-5.8,5.7,-5.9,1
KLH057a_0078,299.2,1678.9,2158.2,-16.1,-247,-167.7,16.5,-200.9,-14.9,-2.6,-75.3,78.7,9.9,-53.1,23,1.6,-2,-31.7
KLH057a_0079,471.9,1582.5,2201.8,-60.2,86,23.6,-16.6,4.9,61.8,-14.8,21.2,42.9,-8.8,54.6,-6.4,-12.7,4.7,33.9
KLH057a_0080,409.4,1601.8,2175.9,148.3,-125.5,-119.7,-7,-31.5,40,-20.2,-17.1,25.1,5,4.2,-14.6,14.6,34.1,-21.2
