Speaker,word_unique,vowel,syllable_number,word_syllables,stress,syllable_stress,Moras,length,f0_reaper,f0_praat,intensity,raw_duration,duration,f1,f2
JM,hale41.2010262078678,a,-2,2,primary,Primary Stressed,1,short,NA,NA,-3.1407580702469384,30.000000000001098,-3.506557897319945,-1.2012318438596,0.206476143037431
JM,hale41.2010262078678,e,-1,2,unstressed,Final Unstressed,1,short,51.683094,-1.5528892271893662,-2.74073676362136,61.030915833868,-2.796374726248502,-0.945355565271819,0.340287209257628
JM,hale44.7702,a,-2,2,primary,Primary Stressed,1,short,140.481476,0.9556606078420437,0.410946258277136,39.3178290079135,-3.2360771986579695,-0.640436810504504,0.14760720651866
JM,hale44.7702,e,-1,2,unstressed,Final Unstressed,1,short,182.822936888889,2.537492090316931,0.798845707126184,68.4161237602652,-2.682146754643734,-1.3766744600434,0.59826555515741
JM,hale481.232201769014,a,-2,2,primary,Primary Stressed,1,short,109.258421714286,-0.5174131344426299,0.362458827171008,57.7007286952949,-2.8524854765132552,-0.596545199225773,0.0882689368761973
JM,hale481.232201769014,e,-1,2,unstressed,Final Unstressed,1,short,211.638728230769,-0.5783445233381049,-0.1345373416668348,70.0651705585642,-2.6583294620724143,-1.34314210992959,0.58986368819678
JM,hale485.1435,a,-2,2,primary,Primary Stressed,1,short,141.4730944,0.8925273140255593,0.5079211204893989,60.0000000000023,-2.813410716759998,-0.439406492259817,0.183955710285097
JM,hale485.1435,e,-1,2,unstressed,Final Unstressed,1,short,139.8682144,0.773778814355113,0.0957779560872869,65.9436899375123,-2.718954083888241,-0.966474577636121,0.544215950626832
JM,hale488.859347102493,a,-2,2,primary,Primary Stressed,1,short,103.817559111111,-0.5113425299873862,-1.480063554861962,64.9310942143302,-2.7344286603885806,-0.775713498797764,0.0614272134484182
JM,hale488.859347102493,e,-1,2,unstressed,Final Unstressed,1,short,204.813548875,-0.7590168330379752,-1.2133826837782409,58.8492179532523,-2.8327767341788928,-1.28519076446676,0.545219592128015
AA,hale524.1579924,a,-2,2,primary,Primary Stressed,1,short,118.243036125,-0.7594544087179148,0.16308876189126115,52.432695,-2.9482249318495675,-0.593919352602198,0.0949702377051063
AA,hale524.1579924,e,-1,2,unstressed,Final Unstressed,1,short,104.353101043478,-1.5260058937503551,-0.6941564103114765,338.65562,-1.0827715581540378,-0.999650029693466,0.574153824134699
IN,hale53.5794295810981,a,-2,2,primary,Primary Stressed,1,short,190.546699333333,0.4460289035471831,-0.41003075600677324,41.8243030866208,-3.1742776948512805,-0.687962629769984,0.275700871773918
IN,hale53.5794295810981,e,-1,2,unstressed,Final Unstressed,1,short,NA,NA,-0.674532632444852,37.2030893014852,-3.291363475412293,-1.17114010223389,0.598906537882331
JM,hale61.50531276043,a,-2,2,primary,Primary Stressed,1,short,146.5584429,1.0254645961934064,0.798845707126184,88.8704288019895,-2.420575826195689,-0.338752712045636,0.163745469471772
JM,hale61.50531276043,e,-1,2,unstressed,Final Unstressed,1,short,143.920666818182,0.7728387796650443,1.0776484359864336,74.0586906683234,-2.60289738298966,-1.01339455328035,0.606016684341241
JM,hale64.3411091692484,a,-2,2,primary,Primary Stressed,1,short,NA,NA,-1.7709881414987472,55.7203482171218,-2.8874098806801207,-0.553495587784141,0.176991687474484
JM,hale64.3411091692484,e,-1,2,unstressed,Final Unstressed,1,short,100.204532,-0.8746614975226108,-1.6982569948395483,50.0777813090565,-2.9941778561058734,-1.03127749885922,0.375097610922025
JM,hale66.6874975206851,a,-2,2,primary,Primary Stressed,1,short,121.198672181818,0.03520364087195843,-0.03756247945457193,74.8852591479476,-2.591798214931526,-0.122882465392748,0.174162620667992
