"","Speaker","filename","word","word_unique","vowel","syllable_number","word_syllables","stress","syllable_stress","Moras","length","f0_reaper","f0_praat","intensity","duration","log_duration","f1","f2","syll_length"
"44","AA","KLH057a_0681","hoʻihoʻi","hoʻihoʻi285.862","o","-2",4,"primary","Primary Stressed",1,"short",98.8339314,100.3432376832,71.5,40.274119,3.69570905421174,-1.10604398458108,0.151350571141214,"-2.short"
"45","LV","KLH032a_0509","hoʻihoʻi","hoʻihoʻi303.0251","o","-4",4,"secondary","Secondary Stressed",1,"short",132.831329,155.414994184207,70.4,39.6033042570139,3.67891255561313,-0.942531719157723,-0.178432802625494,"-4.short"
"46","LV","KLH032a_0511","hoʻihoʻi","hoʻihoʻi303.0251","o","-2",4,"primary","Primary Stressed",1,"short",170.35360525,166.920208964787,72.15,50.3879584979359,3.91975222783996,-0.993161810249163,-0.0329863754230999,"-2.short"
"47","LV","KLH032d_0221","hoʻohana","hoʻohana100.1689","o","-4",4,"secondary","Secondary Stressed",1,"short",154.526722,75.7299438782434,64.65,46.7970808146418,3.84582082522264,-0.757063856674404,-0.699420782329645,"-4.short"
"48","LV","KLH032d_0223","hoʻohana","hoʻohana100.1689","a","-2",4,"primary","Primary Stressed",1,"short",159.100609,155.470365100024,70.65,46.2690491873872,3.83447325348337,-0.156177408990232,0.345612298254229,"-2.short"
"49","SB","KLH033b_0288","hoʻohana","hoʻohana151.6587","o","-4",4,"secondary","Secondary Stressed",1,"short",NA,NA,62.2,48.8483932823556,3.88872148710562,-0.798198403548289,0.137703507866186,"-4.short"
"50","SB","KLH033b_0290","hoʻohana","hoʻohana151.6587","a","-2",4,"primary","Primary Stressed",1,"short",146.148053272727,144.192009841204,65.1,69.9999999999932,4.24849524204926,-1.07927749805665,0.322711096640865,"-2.short"
"51","DK","KLH063c_0482","hoʻohana","hoʻohana253.247463150842","o","-4",4,"secondary","Secondary Stressed",1,"short",160.5469895,162.559931467052,77,53.5218406863294,3.98008980772351,-0.914253000090138,-0.225224173676644,"-4.short"
"52","DK","KLH063c_0484","hoʻohana","hoʻohana253.247463150842","a","-2",4,"primary","Primary Stressed",1,"short",163.116699,167.498012272685,77.5,57.0464439596492,4.04386574236973,-0.310952904688131,0.201197050306878,"-2.short"
"53","HM","KLH021c_0296","hoʻohana","hoʻohana432.870324896192","o","-4",4,"secondary","Secondary Stressed",1,"short",122.863618230769,120.57377788782,76.05,91.2943388556187,4.51408877971592,-0.75546993480698,-0.258474923103346,"-4.short"
"54","HM","KLH021c_0298","hoʻohana","hoʻohana432.870324896192","a","-2",4,"primary","Primary Stressed",1,"short",153.159236666667,155.832901612541,83.8,96.104451330973,4.56543563468472,-0.247469309266744,0.20325394434537,"-2.short"
"55","DK","KLH063c_1139","hoʻohana","hoʻohana477.174668996181","o","-4",4,"secondary","Secondary Stressed",1,"short",115.618721090909,NA,64.8,70.8858228608165,4.26107045389351,-0.576885024347089,-0.249462122049061,"-4.short"
"56","DK","KLH063c_1141","hoʻohana","hoʻohana477.174668996181","a","-2",4,"primary","Primary Stressed",1,"short",101.6669738,103.637495404453,66.55,63.6154820546153,4.15285686925385,-0.339578580338171,0.123491288672477,"-2.short"
"57","SB","KLH033b_0162","hoʻohele","hoʻohele75.3912052363339","o","-4",4,"secondary","Secondary Stressed",1,"short",165.32099925,128.642170861851,64.85,54.9939108952913,4.00722246810885,-0.88046638866343,-0.203443203849775,"-4.short"
"58","SB","KLH033b_0164","hoʻohele","hoʻohele75.3912052363339","e","-2",4,"primary","Primary Stressed",1,"short",173.351541,168.166873511581,72.1,72.4687106318669,4.28315489121277,-1.4463482181775,0.599321073811621,"-2.short"
"59","HM","KLH021a_0355","hoʻoholo","hoʻoholo262.8234","o","-4",4,"secondary","Secondary Stressed",1,"short",128.2144708,126.537776069403,72.9,70.7808469175006,4.2595884403374,-0.829443225818103,-0.274041064156394,"-4.short"
