Speaker,word_unique,vowel,syllable_number,word_syllables,stress,syllable_stress,Moras,length,f0_reaper,f0_praat,intensity,raw_duration,duration,f1,f2
HM,kapa588.897484525984,a,-2,2,primary,Primary Stressed,1,short,115.232781833333,110.762019504926,72.4,69.1035594853702,-2.672149037445921,-0.649516209918539,0.175306806052837
HM,kapa588.897484525984,a,-1,2,unstressed,Final Unstressed,1,short,126.3217145,91.5558978555574,71.1,57.474040158695104,-2.8564219086255362,-0.706494499678241,0.217031940079057
HM,kapa63.5616,a,-2,2,primary,Primary Stressed,1,short,108.7276515,104.201866818823,63,50.1628753760457,-2.9924800602165886,-0.665835541789714,0.106450892725381
HM,kapa63.5616,a,-1,2,unstressed,Final Unstressed,1,short,NA,NA,59.05,50.4686996578769,-2.9864019436165883,-0.789103174165517,0.15379226364259
HM,kapa681.162182595116,a,-2,2,primary,Primary Stressed,1,short,116.9281463,116.933111136443,79.3,64.8318423623095,-2.735958401838553,-0.504241978055378,0.0841834389486067
HM,kapa681.162182595116,a,-1,2,unstressed,Final Unstressed,1,short,130.3815131,125.08083200248,78.5,74.5292609302624,-2.596563466543681,-0.563788942254638,0.153635511545709
LV,kapa714.4701,a,-2,2,primary,Primary Stressed,1,short,256.395355,250.54970733614,76.75,31.0079634516569,-3.4735112219491118,-0.641804849151525,0.187106843073487
LV,kapa714.4701,a,-1,2,unstressed,Final Unstressed,1,short,198.023677875,189.174602048794,69.3,49.9999999999545,-2.9957322735549012,-0.559730470626771,0.167915027157389
HM,kapa768.421481298819,a,-2,2,primary,Primary Stressed,1,short,112.599216625,109.550288535604,75.65,63.22265070025419,-2.761092644882324,-0.671007198434603,0.138471739706701
HM,kapa768.421481298819,a,-1,2,unstressed,Final Unstressed,1,short,108.328485222222,102.914485115032,73.1,64.7662792155188,-2.736970193546422,-0.785588232058072,0.268470519284875
DK,kapu1198.334,a,-2,2,primary,Primary Stressed,1,short,183.7631622,174.478410558907,73.2,41.3905250909465,-3.18470328688142,-0.724764885156539,0.23661469839629
DK,kapu1198.334,u,-1,2,unstressed,Final Unstressed,1,short,NA,NA,61.4,33.5760583100182,-3.393942016294677,-1.0715812661832,-0.0867568399577339
LV,kapu634.806429874518,a,-2,2,primary,Primary Stressed,1,short,96.92308,NA,NA,31.2213243574888,-3.4666539446315627,-0.718548184593789,0.234182157195578
LV,kapu634.806429874518,u,-1,2,unstressed,Final Unstressed,1,short,102.1900029375,85.9143122460141,57.95,101.46930416181,-2.2879989482901983,-1.17969110218495,0.275729277349719
AA,kaʻa1082.940349,a,-2,2,primary,Primary Stressed,1,short,205.529006857143,198.834655736029,79.25,66.38462100000001,-2.7122898607716053,-0.590914489536998,0.173822493482136
AA,kaʻa1082.940349,a,-1,2,unstressed,Final Unstressed,1,short,167.200208,159.40686975201,76,48.745931,-3.0211335516884836,-0.615571804479955,0.22154414976213
AA,kaʻa1083.665,a,-2,2,primary,Primary Stressed,1,short,196.722119,192.003673338039,78.3,40.412283,-3.2086215055707368,-0.641038051993964,0.147436177608408
AA,kaʻa1083.665,a,-1,2,unstressed,Final Unstressed,1,short,172.864245166667,172.105744427893,75.3,44.161457,-3.1199028838981557,-0.49329654243389,0.241242343869347
AA,kaʻa1178.14398,a,-2,2,primary,Primary Stressed,1,short,158.8361191,156.91301696395,73.9,90.272658,-2.4049206551072304,-0.478834629676594,0.105052573046619
AA,kaʻa1178.14398,a,-1,2,unstressed,Final Unstressed,1,short,117.102398857143,113.770041146409,68.2,120,-2.120263536200091,-0.502139754657897,0.106020073891691
AA,kaʻa1264.662433,a,-2,2,primary,Primary Stressed,1,short,219.064648833333,211.143664298738,79.5,110.961851,-2.1985688214276045,-0.478676863643294,0.0670279060485122
