"","Speaker","filename","word","word_unique","vowel","syllable_number","word_syllables","stress","syllable_stress","Moras","length","f0_reaper","f0_praat","intensity","duration","log_duration","f1","f2","syll_comp"
"88","AA","KLH057a_0682","hoʻihoʻi","hoʻihoʻi285.862","i","-1",4,"unstressed","Final Unstressed",1,"short",96.0504881111111,94.8316154524486,71.5,60.918197,4.10953193139726,-1.02330068862619,0.557893303262919,"-1_4"
"89","LV","KLH032a_0509","hoʻihoʻi","hoʻihoʻi303.0251","o","-4",4,"secondary","Secondary Stressed",1,"short",132.831329,155.414994184207,70.4,39.6033042570139,3.67891255561313,-0.942531719157723,-0.178432802625494,"-4_4"
"90","LV","KLH032a_0510","hoʻihoʻi","hoʻihoʻi303.0251","i","-3",4,"unstressed","Antepen. Unstressed",1,"short",147.547242428571,143.544056521629,68.6,86.5405537468291,4.46061313351476,-1.29381904156408,0.742153971786438,"-3_4"
"91","LV","KLH032a_0511","hoʻihoʻi","hoʻihoʻi303.0251","o","-2",4,"primary","Primary Stressed",1,"short",170.35360525,166.920208964787,72.15,50.3879584979359,3.91975222783996,-0.993161810249163,-0.0329863754230999,"-2_4"
"92","LV","KLH032a_0512","hoʻihoʻi","hoʻihoʻi303.0251","i","-1",4,"unstressed","Final Unstressed",1,"short",145.595611461538,140.163386176076,60.5,110.009178491737,4.7005638031454,-1.36655023516164,0.784315676444292,"-1_4"
"93","LV","KLH032d_0221","hoʻohana","hoʻohana100.1689","o","-4",4,"secondary","Secondary Stressed",1,"short",154.526722,75.7299438782434,64.65,46.7970808146418,3.84582082522264,-0.757063856674404,-0.699420782329645,"-4_4"
"94","LV","KLH032d_0222","hoʻohana","hoʻohana100.1689","o","-3",4,"unstressed","Antepen. Unstressed",1,"short",NA,NA,65.15,46.1582707999781,3.83207616049249,-0.600671861004132,-0.508079074176307,"-3_4"
"95","LV","KLH032d_0223","hoʻohana","hoʻohana100.1689","a","-2",4,"primary","Primary Stressed",1,"short",159.100609,155.470365100024,70.65,46.2690491873872,3.83447325348337,-0.156177408990232,0.345612298254229,"-2_4"
"96","LV","KLH032d_0224","hoʻohana","hoʻohana100.1689","a","-1",4,"unstressed","Final Unstressed",1,"short",149.0515579,148.741036836916,66.1,65.1488772125504,4.17667506953978,-0.478586319951695,0.256597440866498,"-1_4"
"97","SB","KLH033b_0288","hoʻohana","hoʻohana151.6587","o","-4",4,"secondary","Secondary Stressed",1,"short",NA,NA,62.2,48.8483932823556,3.88872148710562,-0.798198403548289,0.137703507866186,"-4_4"
"98","SB","KLH033b_0289","hoʻohana","hoʻohana151.6587","o","-3",4,"unstressed","Antepen. Unstressed",1,"short",118.067133777778,123.759684630584,60.9,76.5752714313521,4.33827419735966,-1.21365045405848,-0.198406376469439,"-3_4"
"99","SB","KLH033b_0290","hoʻohana","hoʻohana151.6587","a","-2",4,"primary","Primary Stressed",1,"short",146.148053272727,144.192009841204,65.1,69.9999999999932,4.24849524204926,-1.07927749805665,0.322711096640865,"-2_4"
"100","SB","KLH033b_0291","hoʻohana","hoʻohana151.6587","a","-1",4,"unstressed","Final Unstressed",1,"short",115.18237975,122.880801668091,65.5,68.8887597571579,4.23249302620829,-0.551485433716964,0.420364104286957,"-1_4"
